L_mm,df_frac,df_kHz,f_actual_kHz,spacing_error_um,contrast_mid_dB,p_sq_mid
10.0000,-0.004048,-3.0017,738.4983,4.0645,18.5639,3.18877325
10.0000,-0.003968,-2.9422,738.5578,3.9837,18.5639,3.18927260
10.0000,-0.003888,-2.8828,738.6172,3.9029,18.5639,3.18976202
10.0000,-0.003808,-2.8233,738.6767,3.8222,18.5639,3.19024151
10.0000,-0.003727,-2.7639,738.7361,3.7414,18.5639,3.19071105
10.0000,-0.003647,-2.7045,738.7955,3.6606,18.5639,3.19117065
10.0000,-0.003567,-2.6450,738.8550,3.5799,18.5639,3.19162031
10.0000,-0.003487,-2.5856,738.9144,3.4992,18.5639,3.19206002
10.0000,-0.003407,-2.5262,738.9738,3.4185,18.5639,3.19248978
10.0000,-0.003327,-2.4667,739.0333,3.3378,18.5639,3.19290958
10.0000,-0.003246,-2.4073,739.0927,3.2571,18.5639,3.19331943
10.0000,-0.003166,-2.3478,739.1522,3.1764,18.5639,3.19371932
10.0000,-0.003086,-2.2884,739.2116,3.0957,18.5639,3.19410925
10.0000,-0.003006,-2.2290,739.2710,3.0151,18.5639,3.19448922
10.0000,-0.002926,-2.1695,739.3305,2.9344,18.5639,3.19485921
10.0000,-0.002846,-2.1101,739.3899,2.8538,18.5639,3.19521924
10.0000,-0.002766,-2.0506,739.4494,2.7732,18.5639,3.19556930
10.0000,-0.002685,-1.9912,739.5088,2.6926,18.5639,3.19590939
10.0000,-0.002605,-1.9318,739.5682,2.6120,18.5639,3.19623950
10.0000,-0.002525,-1.8723,739.6277,2.5314,18.5639,3.19655963
10.0000,-0.002445,-1.8129,739.6871,2.4509,18.5639,3.19686979
10.0000,-0.002365,-1.7534,739.7466,2.3703,18.5639,3.19716996
10.0000,-0.002285,-1.6940,739.8060,2.2898,18.5639,3.19746015
10.0000,-0.002204,-1.6346,739.8654,2.2093,18.5639,3.19774035
10.0000,-0.002124,-1.5751,739.9249,2.1288,18.5639,3.19801057
10.0000,-0.002044,-1.5157,739.9843,2.0483,18.5639,3.19827080
10.0000,-0.001964,-1.4563,740.0437,1.9678,18.5639,3.19852104
10.0000,-0.001884,-1.3968,740.1032,1.8873,18.5639,3.19876129
10.0000,-0.001804,-1.3374,740.1626,1.8069,18.5639,3.19899154
10.0000,-0.001723,-1.2779,740.2221,1.7264,18.5639,3.19921180
10.0000,-0.001643,-1.2185,740.2815,1.6460,18.5639,3.19942206
10.0000,-0.001563,-1.1591,740.3409,1.5656,18.5639,3.19962233
10.0000,-0.001483,-1.0996,740.4004,1.4852,18.5639,3.19981259
10.0000,-0.001403,-1.0402,740.4598,1.4048,18.5639,3.19999286
10.0000,-0.001323,-0.9807,740.5193,1.3244,18.5639,3.20016313
10.0000,-0.001242,-0.9213,740.5787,1.2440,18.5639,3.20032339
10.0000,-0.001162,-0.8619,740.6381,1.1637,18.5639,3.20047365
10.0000,-0.001082,-0.8024,740.6976,1.0833,18.5639,3.20061391
10.0000,-0.001002,-0.7430,740.7570,1.0030,18.5639,3.20074416
10.0000,-0.000922,-0.6835,740.8165,0.9227,18.5639,3.20086440
10.0000,-0.000842,-0.6241,740.8759,0.8424,18.5639,3.20097464
10.0000,-0.000762,-0.5647,740.9353,0.7621,18.5639,3.20107487
10.0000,-0.000681,-0.5052,740.9948,0.6818,18.5639,3.20116509
10.0000,-0.000601,-0.4458,741.0542,0.6016,18.5639,3.20124531
10.0000,-0.000521,-0.3864,741.1136,0.5213,18.5639,3.20131551
10.0000,-0.000441,-0.3269,741.1731,0.4411,18.5639,3.20137571
10.0000,-0.000361,-0.2675,741.2325,0.3609,18.5639,3.20142589
10.0000,-0.000281,-0.2080,741.2920,0.2806,18.5639,3.20146607
10.0000,-0.000200,-0.1486,741.3514,0.2004,18.5639,3.20149623
10.0000,-0.000120,-0.0892,741.4108,0.1203,18.5639,3.20151639
10.0000,-0.000040,-0.0297,741.4703,0.0401,18.5639,3.20152653
10.0000,0.000040,0.0297,741.5297,-0.0401,18.5639,3.20152667
10.0000,0.000120,0.0892,741.5892,-0.1202,18.5639,3.20151679
10.0000,0.000200,0.1486,741.6486,-0.2004,18.5639,3.20149690
10.0000,0.000281,0.2080,741.7080,-0.2805,18.5639,3.20146700
10.0000,0.000361,0.2675,741.7675,-0.3606,18.5639,3.20142709
10.0000,0.000441,0.3269,741.8269,-0.4407,18.5639,3.20137717
10.0000,0.000521,0.3864,741.8864,-0.5208,18.5639,3.20131724
10.0000,0.000601,0.4458,741.9458,-0.6008,18.5639,3.20124730
10.0000,0.000681,0.5052,742.0052,-0.6809,18.5639,3.20116735
10.0000,0.000762,0.5647,742.0647,-0.7609,18.5639,3.20107739
10.0000,0.000842,0.6241,742.1241,-0.8410,18.5639,3.20097743
10.0000,0.000922,0.6835,742.1835,-0.9210,18.5639,3.20086745
10.0000,0.001002,0.7430,742.2430,-1.0010,18.5639,3.20074747
10.0000,0.001082,0.8024,742.3024,-1.0810,18.5639,3.20061749
10.0000,0.001162,0.8619,742.3619,-1.1610,18.5639,3.20047750
10.0000,0.001242,0.9213,742.4213,-1.2409,18.5639,3.20032750
10.0000,0.001323,0.9807,742.4807,-1.3209,18.5639,3.20016751
10.0000,0.001403,1.0402,742.5402,-1.4008,18.5639,3.19999751
10.0000,0.001483,1.0996,742.5996,-1.4808,18.5639,3.19981750
10.0000,0.001563,1.1591,742.6591,-1.5607,18.5638,3.19962750
10.0000,0.001643,1.2185,742.7185,-1.6406,18.5638,3.19942750
10.0000,0.001723,1.2779,742.7779,-1.7205,18.5638,3.19921750
10.0000,0.001804,1.3374,742.8374,-1.8004,18.5638,3.19899751
10.0000,0.001884,1.3968,742.8968,-1.8802,18.5638,3.19876752
10.0000,0.001964,1.4563,742.9563,-1.9601,18.5638,3.19852754
10.0000,0.002044,1.5157,743.0157,-2.0399,18.5638,3.19827757
10.0000,0.002124,1.5751,743.0751,-2.1197,18.5638,3.19801760
10.0000,0.002204,1.6346,743.1346,-2.1996,18.5638,3.19774765
10.0000,0.002285,1.6940,743.1940,-2.2794,18.5638,3.19746771
10.0000,0.002365,1.7534,743.2534,-2.3592,18.5638,3.19717778
10.0000,0.002445,1.8129,743.3129,-2.4389,18.5638,3.19687787
10.0000,0.002525,1.8723,743.3723,-2.5187,18.5638,3.19656798
10.0000,0.002605,1.9318,743.4318,-2.5984,18.5638,3.19624812
10.0000,0.002685,1.9912,743.4912,-2.6782,18.5638,3.19591827
10.0000,0.002766,2.0506,743.5506,-2.7579,18.5638,3.19557845
10.0000,0.002846,2.1101,743.6101,-2.8376,18.5638,3.19522865
10.0000,0.002926,2.1695,743.6695,-2.9173,18.5638,3.19486889
10.0000,0.003006,2.2290,743.7290,-2.9970,18.5638,3.19449915
10.0000,0.003086,2.2884,743.7884,-3.0767,18.5638,3.19411945
10.0000,0.003166,2.3478,743.8478,-3.1563,18.5638,3.19372979
10.0000,0.003246,2.4073,743.9073,-3.2360,18.5638,3.19333016
10.0000,0.003327,2.4667,743.9667,-3.3156,18.5638,3.19292057
10.0000,0.003407,2.5262,744.0262,-3.3952,18.5638,3.19250103
10.0000,0.003487,2.5856,744.0856,-3.4749,18.5638,3.19207154
10.0000,0.003567,2.6450,744.1450,-3.5545,18.5638,3.19163209
10.0000,0.003647,2.7045,744.2045,-3.6340,18.5638,3.19118270
10.0000,0.003727,2.7639,744.2639,-3.7136,18.5638,3.19072336
10.0000,0.003808,2.8233,744.3233,-3.7932,18.5638,3.19025408
10.0000,0.003888,2.8828,744.3828,-3.8727,18.5638,3.18977485
10.0000,0.003968,2.9422,744.4422,-3.9523,18.5638,3.18928570
10.0000,0.004048,3.0017,744.5017,-4.0318,18.5638,3.18878661
10.0000,0.004128,3.0611,744.5611,-4.1113,18.5638,3.18827758
10.0000,0.004208,3.1205,744.6205,-4.1908,18.5638,3.18775864
10.0000,0.004289,3.1800,744.6800,-4.2703,18.5638,3.18722977
10.0000,0.004369,3.2394,744.7394,-4.3497,18.5638,3.18669097
10.0000,0.004449,3.2989,744.7989,-4.4292,18.5638,3.18614227
10.0000,0.004529,3.3583,744.8583,-4.5086,18.5638,3.18558364
10.0000,0.004609,3.4177,744.9177,-4.5881,18.5638,3.18501511
10.0000,0.004689,3.4772,744.9772,-4.6675,18.5638,3.18443667
10.0000,0.004770,3.5366,745.0366,-4.7469,18.5638,3.18384833
10.0000,0.004850,3.5961,745.0961,-4.8263,18.5638,3.18325010
10.0000,0.004930,3.6555,745.1555,-4.9057,18.5638,3.18264196
10.0000,0.005010,3.7149,745.2149,-4.9850,18.5638,3.18202394
10.0000,0.005090,3.7744,745.2744,-5.0644,18.5638,3.18139602
10.0000,0.005170,3.8338,745.3338,-5.1437,18.5638,3.18075823
10.0000,0.005251,3.8932,745.3932,-5.2231,18.5638,3.18011055
10.0000,0.005331,3.9527,745.4527,-5.3024,18.5638,3.17945300
10.0000,0.005411,4.0121,745.5121,-5.3817,18.5638,3.17878558
10.0000,0.005491,4.0716,745.5716,-5.4610,18.5638,3.17810830
10.0000,0.005571,4.1310,745.6310,-5.5403,18.5638,3.17742115
10.0000,0.005651,4.1904,745.6904,-5.6195,18.5638,3.17672414
10.0000,0.005731,4.2499,745.7499,-5.6988,18.5638,3.17601728
10.0000,0.005812,4.3093,745.8093,-5.7780,18.5638,3.17530057
10.0000,0.005892,4.3688,745.8688,-5.8573,18.5638,3.17457401
10.0000,0.005972,4.4282,745.9282,-5.9365,18.5638,3.17383762
10.0000,0.006052,4.4876,745.9876,-6.0157,18.5638,3.17309139
10.0000,0.006132,4.5471,746.0471,-6.0949,18.5638,3.17233532
10.0000,0.006212,4.6065,746.1065,-6.1741,18.5638,3.17156944
10.0000,0.006293,4.6660,746.1660,-6.2532,18.5638,3.17079373
10.0000,0.006373,4.7254,746.2254,-6.3324,18.5638,3.17000821
10.0000,0.006453,4.7848,746.2848,-6.4115,18.5638,3.16921287
10.0000,0.006533,4.8443,746.3443,-6.4907,18.5638,3.16840773
10.0000,0.006613,4.9037,746.4037,-6.5698,18.5638,3.16759279
10.0000,0.006693,4.9631,746.4631,-6.6489,18.5638,3.16676805
10.0000,0.006774,5.0226,746.5226,-6.7280,18.5638,3.16593353
10.0000,0.006854,5.0820,746.5820,-6.8071,18.5638,3.16508921
10.0000,0.006934,5.1415,746.6415,-6.8861,18.5638,3.16423512
10.0000,0.007014,5.2009,746.7009,-6.9652,18.5638,3.16337125
10.0000,0.007094,5.2603,746.7603,-7.0442,18.5638,3.16249762
10.0000,0.007174,5.3198,746.8198,-7.1232,18.5638,3.16161422
10.0000,0.007255,5.3792,746.8792,-7.2023,18.5638,3.16072106
10.0000,0.007335,5.4387,746.9387,-7.2813,18.5638,3.15981815
10.0000,0.007415,5.4981,746.9981,-7.3603,18.5638,3.15890550
10.0000,0.007495,5.5575,747.0575,-7.4392,18.5638,3.15798310
10.0000,0.007575,5.6170,747.1170,-7.5182,18.5638,3.15705097
10.0000,0.007655,5.6764,747.1764,-7.5972,18.5638,3.15610911
10.0000,0.007735,5.7359,747.2359,-7.6761,18.5638,3.15515753
10.0000,0.007816,5.7953,747.2953,-7.7550,18.5638,3.15419623
10.0000,0.007896,5.8547,747.3547,-7.8339,18.5638,3.15322522
10.0000,0.007976,5.9142,747.4142,-7.9128,18.5638,3.15224450
10.0000,0.008056,5.9736,747.4736,-7.9917,18.5638,3.15125409
10.0000,0.008136,6.0330,747.5330,-8.0706,18.5638,3.15025398
10.0000,0.008216,6.0925,747.5925,-8.1495,18.5638,3.14924419
10.0000,0.008297,6.1519,747.6519,-8.2283,18.5638,3.14822472
10.0000,0.008377,6.2114,747.7114,-8.3072,18.5638,3.14719558
10.0000,0.008457,6.2708,747.7708,-8.3860,18.5638,3.14615677
10.0000,0.008537,6.3302,747.8302,-8.4648,18.5638,3.14510830
10.0000,0.008617,6.3897,747.8897,-8.5436,18.5638,3.14405018
10.0000,0.008697,6.4491,747.9491,-8.6224,18.5638,3.14298241
10.0000,0.008778,6.5086,748.0086,-8.7012,18.5638,3.14190500
10.0000,0.008858,6.5680,748.0680,-8.7799,18.5638,3.14081796
10.0000,0.008938,6.6274,748.1274,-8.8587,18.5638,3.13972129
10.0000,0.009018,6.6869,748.1869,-8.9374,18.5638,3.13861500
10.0000,0.009098,6.7463,748.2463,-9.0162,18.5638,3.13749911
10.0000,0.009178,6.8058,748.3058,-9.0949,18.5638,3.13637360
10.0000,0.009259,6.8652,748.3652,-9.1736,18.5638,3.13523850
10.0000,0.009339,6.9246,748.4246,-9.2523,18.5638,3.13409381
10.0000,0.009419,6.9841,748.4841,-9.3310,18.5638,3.13293954
10.0000,0.009499,7.0435,748.5435,-9.4096,18.5638,3.13177569
10.0000,0.009579,7.1029,748.6029,-9.4883,18.5638,3.13060227
10.0000,0.009659,7.1624,748.6624,-9.5669,18.5638,3.12941929
10.0000,0.009739,7.2218,748.7218,-9.6455,18.5638,3.12822675
10.0000,0.009820,7.2813,748.7813,-9.7242,18.5638,3.12702467
10.0000,0.009900,7.3407,748.8407,-9.8028,18.5638,3.12581305
10.0000,0.009980,7.4001,748.9001,-9.8813,18.5638,3.12459191
10.0000,0.010060,7.4596,748.9596,-9.9599,18.5638,3.12336123
10.0000,0.010140,7.5190,749.0190,-10.0385,18.5638,3.12212105
10.0000,0.010220,7.5785,749.0785,-10.1170,18.5638,3.12087135
10.0000,0.010301,7.6379,749.1379,-10.1956,18.5638,3.11961216
10.0000,0.010381,7.6973,749.1973,-10.2741,18.5638,3.11834347
10.0000,0.010461,7.7568,749.2568,-10.3526,18.5638,3.11706530
10.0000,0.010541,7.8162,749.3162,-10.4311,18.5638,3.11577766
10.0000,0.010621,7.8757,749.3757,-10.5096,18.5638,3.11448055
10.0000,0.010701,7.9351,749.4351,-10.5881,18.5638,3.11317398
10.0000,0.010782,7.9945,749.4945,-10.6666,18.5638,3.11185796
10.0000,0.010862,8.0540,749.5540,-10.7450,18.5638,3.11053249
10.0000,0.010942,8.1134,749.6134,-10.8235,18.5638,3.10919760
10.0000,0.011022,8.1728,749.6728,-10.9019,18.5638,3.10785327
10.0000,0.011102,8.2323,749.7323,-10.9803,18.5638,3.10649954
10.0000,0.011182,8.2917,749.7917,-11.0587,18.5638,3.10513639
10.0000,0.011263,8.3512,749.8512,-11.1371,18.5638,3.10376384
10.0000,0.011343,8.4106,749.9106,-11.2155,18.5638,3.10238190
10.0000,0.011423,8.4700,749.9700,-11.2938,18.5638,3.10099058
10.0000,0.011503,8.5295,750.0295,-11.3722,18.5637,3.09958989
10.0000,0.011583,8.5889,750.0889,-11.4505,18.5637,3.09817983
10.0000,0.011663,8.6484,750.1484,-11.5289,18.5637,3.09676042
10.0000,0.011743,8.7078,750.2078,-11.6072,18.5637,3.09533166
10.0000,0.011824,8.7672,750.2672,-11.6855,18.5637,3.09389356
10.0000,0.011904,8.8267,750.3267,-11.7638,18.5637,3.09244613
10.0000,0.011984,8.8861,750.3861,-11.8421,18.5637,3.09098939
10.0000,0.012064,8.9456,750.4456,-11.9203,18.5637,3.08952334
10.0000,0.012144,9.0050,750.5050,-11.9986,18.5637,3.08804798
10.0000,0.012224,9.0644,750.5644,-12.0768,18.5637,3.08656333
10.0000,0.012305,9.1239,750.6239,-12.1550,18.5637,3.08506940
10.0000,0.012385,9.1833,750.6833,-12.2333,18.5637,3.08356620
10.0000,0.012465,9.2427,750.7427,-12.3115,18.5637,3.08205374
10.0000,0.012545,9.3022,750.8022,-12.3897,18.5637,3.08053202
10.0000,0.012625,9.3616,750.8616,-12.4678,18.5637,3.07900106
10.0000,0.012705,9.4211,750.9211,-12.5460,18.5637,3.07746087
10.0000,0.012786,9.4805,750.9805,-12.6242,18.5637,3.07591145
10.0000,0.012866,9.5399,751.0399,-12.7023,18.5637,3.07435282
10.0000,0.012946,9.5994,751.0994,-12.7804,18.5637,3.07278498
10.0000,0.013026,9.6588,751.1588,-12.8586,18.5637,3.07120795
10.0000,0.013106,9.7183,751.2183,-12.9367,18.5637,3.06962173
10.0000,0.013186,9.7777,751.2777,-13.0148,18.5637,3.06802634
10.0000,0.013267,9.8371,751.3371,-13.0928,18.5637,3.06642178
10.0000,0.013347,9.8966,751.3966,-13.1709,18.5637,3.06480808
10.0000,0.013427,9.9560,751.4560,-13.2490,18.5637,3.06318522
10.0000,0.013507,10.0155,751.5155,-13.3270,18.5637,3.06155324
10.0000,0.013587,10.0749,751.5749,-13.4050,18.5637,3.05991213
10.0000,0.013667,10.1343,751.6343,-13.4831,18.5637,3.05826190
10.0000,0.013747,10.1938,751.6938,-13.5611,18.5637,3.05660258
10.0000,0.013828,10.2532,751.7532,-13.6391,18.5637,3.05493416
10.0000,0.013908,10.3126,751.8126,-13.7170,18.5637,3.05325666
10.0000,0.013988,10.3721,751.8721,-13.7950,18.5637,3.05157009
10.0000,0.014068,10.4315,751.9315,-13.8730,18.5637,3.04987447
10.0000,0.014148,10.4910,751.9910,-13.9509,18.5637,3.04816979
10.0000,0.014228,10.5504,752.0504,-14.0288,18.5637,3.04645607
10.0000,0.014309,10.6098,752.1098,-14.1068,18.5637,3.04473333
10.0000,0.014389,10.6693,752.1693,-14.1847,18.5637,3.04300157
10.0000,0.014469,10.7287,752.2287,-14.2626,18.5637,3.04126080
10.0000,0.014549,10.7882,752.2882,-14.3405,18.5637,3.03951104
10.0000,0.014629,10.8476,752.3476,-14.4183,18.5637,3.03775230
10.0000,0.014709,10.9070,752.4070,-14.4962,18.5637,3.03598458
10.0000,0.014790,10.9665,752.4665,-14.5740,18.5637,3.03420790
10.0000,0.014870,11.0259,752.5259,-14.6519,18.5637,3.03242228
10.0000,0.014950,11.0854,752.5854,-14.7297,18.5637,3.03062771
10.0000,0.015030,11.1448,752.6448,-14.8075,18.5637,3.02882422
10.0000,0.015110,11.2042,752.7042,-14.8853,18.5637,3.02701181
10.0000,0.015190,11.2637,752.7637,-14.9631,18.5637,3.02519050
10.0000,0.015271,11.3231,752.8231,-15.0409,18.5637,3.02336029
10.0000,0.015351,11.3825,752.8825,-15.1186,18.5637,3.02152120
10.0000,0.015431,11.4420,752.9420,-15.1964,18.5637,3.01967325
10.0000,0.015511,11.5014,753.0014,-15.2741,18.5637,3.01781643
10.0000,0.015591,11.5609,753.0609,-15.3518,18.5637,3.01595077
10.0000,0.015671,11.6203,753.1203,-15.4295,18.5637,3.01407628
10.0000,0.015752,11.6797,753.1797,-15.5072,18.5637,3.01219297
10.0000,0.015832,11.7392,753.2392,-15.5849,18.5637,3.01030084
10.0000,0.015912,11.7986,753.2986,-15.6626,18.5637,3.00839992
10.0000,0.015992,11.8581,753.3581,-15.7403,18.5637,3.00649021
10.0000,0.016072,11.9175,753.4175,-15.8179,18.5637,3.00457172
10.0000,0.016152,11.9769,753.4769,-15.8956,18.5637,3.00264448
10.0000,0.016232,12.0364,753.5364,-15.9732,18.5637,3.00070848
10.0000,0.016313,12.0958,753.5958,-16.0508,18.5637,2.99876375
10.0000,0.016393,12.1553,753.6553,-16.1284,18.5637,2.99681029
10.0000,0.016473,12.2147,753.7147,-16.2060,18.5637,2.99484812
10.0000,0.016553,12.2741,753.7741,-16.2836,18.5637,2.99287725
10.0000,0.016633,12.3336,753.8336,-16.3611,18.5637,2.99089769
10.0000,0.016713,12.3930,753.8930,-16.4387,18.5637,2.98890945
10.0000,0.016794,12.4524,753.9524,-16.5162,18.5637,2.98691256
10.0000,0.016874,12.5119,754.0119,-16.5937,18.5637,2.98490701
10.0000,0.016954,12.5713,754.0713,-16.6713,18.5637,2.98289283
10.0000,0.017034,12.6308,754.1308,-16.7488,18.5637,2.98087002
10.0000,0.017114,12.6902,754.1902,-16.8263,18.5637,2.97883860
10.0000,0.017194,12.7496,754.2496,-16.9037,18.5637,2.97679858
10.0000,0.017275,12.8091,754.3091,-16.9812,18.5637,2.97474998
10.0000,0.017355,12.8685,754.3685,-17.0587,18.5637,2.97269280
10.0000,0.017435,12.9280,754.4280,-17.1361,18.5637,2.97062706
10.0000,0.017515,12.9874,754.4874,-17.2135,18.5637,2.96855278
10.0000,0.017595,13.0468,754.5468,-17.2910,18.5637,2.96646996
10.0000,0.017675,13.1063,754.6063,-17.3684,18.5637,2.96437863
10.0000,0.017756,13.1657,754.6657,-17.4458,18.5637,2.96227878
10.0000,0.017836,13.2252,754.7252,-17.5231,18.5637,2.96017044
10.0000,0.017916,13.2846,754.7846,-17.6005,18.5637,2.95805363
10.0000,0.017996,13.3440,754.8440,-17.6779,18.5637,2.95592834
10.0000,0.018076,13.4035,754.9035,-17.7552,18.5637,2.95379460
10.0000,0.018156,13.4629,754.9629,-17.8325,18.5637,2.95165242
10.0000,0.018236,13.5223,755.0223,-17.9099,18.5637,2.94950182
10.0000,0.018317,13.5818,755.0818,-17.9872,18.5637,2.94734280
10.0000,0.018397,13.6412,755.1412,-18.0645,18.5637,2.94517539
10.0000,0.018477,13.7007,755.2007,-18.1417,18.5637,2.94299959
10.0000,0.018557,13.7601,755.2601,-18.2190,18.5637,2.94081541
10.0000,0.018637,13.8195,755.3195,-18.2963,18.5637,2.93862288
10.0000,0.018717,13.8790,755.3790,-18.3735,18.5637,2.93642201
10.0000,0.018798,13.9384,755.4384,-18.4508,18.5637,2.93421281
10.0000,0.018878,13.9979,755.4979,-18.5280,18.5637,2.93199529
10.0000,0.018958,14.0573,755.5573,-18.6052,18.5637,2.92976947
10.0000,0.019038,14.1167,755.6167,-18.6824,18.5637,2.92753536
10.0000,0.019118,14.1762,755.6762,-18.7596,18.5637,2.92529297
10.0000,0.019198,14.2356,755.7356,-18.8368,18.5637,2.92304233
10.0000,0.019279,14.2951,755.7951,-18.9139,18.5637,2.92078345
10.0000,0.019359,14.3545,755.8545,-18.9911,18.5637,2.91851633
10.0000,0.019439,14.4139,755.9139,-19.0682,18.5637,2.91624100
10.0000,0.019519,14.4734,755.9734,-19.1453,18.5637,2.91395747
10.0000,0.019599,14.5328,756.0328,-19.2225,18.5637,2.91166574
10.0000,0.019679,14.5922,756.0922,-19.2996,18.5637,2.90936585
10.0000,0.019760,14.6517,756.1517,-19.3766,18.5637,2.90705780
10.0000,0.019840,14.7111,756.2111,-19.4537,18.5637,2.90474160
10.0000,0.019920,14.7706,756.2706,-19.5308,18.5637,2.90241728
10.0000,0.020000,14.8300,756.3300,-19.6078,18.5637,2.90008484
15.0000,-0.020000,-14.8300,726.6700,20.4082,18.5617,0.69521655
15.0000,-0.019920,-14.7706,726.7294,20.3247,18.5617,0.69039858
15.0000,-0.019840,-14.7111,726.7889,20.2413,18.5617,0.68559391
15.0000,-0.019760,-14.6517,726.8483,20.1578,18.5617,0.68080263
15.0000,-0.019679,-14.5922,726.9078,20.0744,18.5617,0.67602479
15.0000,-0.019599,-14.5328,726.9672,19.9910,18.5617,0.67126046
15.0000,-0.019519,-14.4734,727.0266,19.9076,18.5617,0.66650972
15.0000,-0.019439,-14.4139,727.0861,19.8242,18.5617,0.66177263
15.0000,-0.019359,-14.3545,727.1455,19.7409,18.5617,0.65704925
15.0000,-0.019279,-14.2951,727.2049,19.6575,18.5617,0.65233966
15.0000,-0.019198,-14.2356,727.2644,19.5742,18.5617,0.64764392
15.0000,-0.019118,-14.1762,727.3238,19.4909,18.5617,0.64296210
15.0000,-0.019038,-14.1167,727.3833,19.4076,18.5617,0.63829427
15.0000,-0.018958,-14.0573,727.4427,19.3243,18.5617,0.63364049
15.0000,-0.018878,-13.9979,727.5021,19.2410,18.5617,0.62900083
15.0000,-0.018798,-13.9384,727.5616,19.1577,18.5616,0.62437536
15.0000,-0.018717,-13.8790,727.6210,19.0745,18.5616,0.61976414
15.0000,-0.018637,-13.8195,727.6805,18.9912,18.5616,0.61516723
15.0000,-0.018557,-13.7601,727.7399,18.9080,18.5616,0.61058471
15.0000,-0.018477,-13.7007,727.7993,18.8248,18.5616,0.60601663
15.0000,-0.018397,-13.6412,727.8588,18.7416,18.5616,0.60146307
15.0000,-0.018317,-13.5818,727.9182,18.6584,18.5616,0.59692409
15.0000,-0.018236,-13.5223,727.9777,18.5752,18.5616,0.59239975
15.0000,-0.018156,-13.4629,728.0371,18.4921,18.5616,0.58789012
15.0000,-0.018076,-13.4035,728.0965,18.4089,18.5616,0.58339526
15.0000,-0.017996,-13.3440,728.1560,18.3258,18.5616,0.57891523
15.0000,-0.017916,-13.2846,728.2154,18.2427,18.5616,0.57445011
15.0000,-0.017836,-13.2252,728.2748,18.1596,18.5616,0.56999995
15.0000,-0.017756,-13.1657,728.3343,18.0765,18.5616,0.56556482
15.0000,-0.017675,-13.1063,728.3937,17.9934,18.5616,0.56114477
15.0000,-0.017595,-13.0468,728.4532,17.9103,18.5616,0.55673989
15.0000,-0.017515,-12.9874,728.5126,17.8273,18.5616,0.55235021
15.0000,-0.017435,-12.9280,728.5720,17.7442,18.5616,0.54797582
15.0000,-0.017355,-12.8685,728.6315,17.6612,18.5616,0.54361677
15.0000,-0.017275,-12.8091,728.6909,17.5782,18.5616,0.53927312
15.0000,-0.017194,-12.7496,728.7504,17.4952,18.5616,0.53494494
15.0000,-0.017114,-12.6902,728.8098,17.4122,18.5616,0.53063229
15.0000,-0.017034,-12.6308,728.8692,17.3293,18.5616,0.52633522
15.0000,-0.016954,-12.5713,728.9287,17.2463,18.5616,0.52205381
15.0000,-0.016874,-12.5119,728.9881,17.1634,18.5616,0.51778811
15.0000,-0.016794,-12.4524,729.0476,17.0804,18.5616,0.51353818
15.0000,-0.016713,-12.3930,729.1070,16.9975,18.5616,0.50930408
15.0000,-0.016633,-12.3336,729.1664,16.9146,18.5616,0.50508588
15.0000,-0.016553,-12.2741,729.2259,16.8317,18.5616,0.50088363
15.0000,-0.016473,-12.2147,729.2853,16.7488,18.5616,0.49669739
15.0000,-0.016393,-12.1553,729.3447,16.6660,18.5616,0.49252723
15.0000,-0.016313,-12.0958,729.4042,16.5831,18.5616,0.48837320
15.0000,-0.016232,-12.0364,729.4636,16.5003,18.5616,0.48423536
15.0000,-0.016152,-11.9769,729.5231,16.4175,18.5616,0.48011378
15.0000,-0.016072,-11.9175,729.5825,16.3347,18.5616,0.47600850
15.0000,-0.015992,-11.8581,729.6419,16.2519,18.5616,0.47191959
15.0000,-0.015912,-11.7986,729.7014,16.1691,18.5616,0.46784711
15.0000,-0.015832,-11.7392,729.7608,16.0863,18.5616,0.46379112
15.0000,-0.015752,-11.6797,729.8203,16.0036,18.5616,0.45975166
15.0000,-0.015671,-11.6203,729.8797,15.9208,18.5616,0.45572881
15.0000,-0.015591,-11.5609,729.9391,15.8381,18.5616,0.45172262
15.0000,-0.015511,-11.5014,729.9986,15.7554,18.5616,0.44773314
15.0000,-0.015431,-11.4420,730.0580,15.6727,18.5616,0.44376043
15.0000,-0.015351,-11.3825,730.1175,15.5900,18.5616,0.43980455
15.0000,-0.015271,-11.3231,730.1769,15.5073,18.5616,0.43586556
15.0000,-0.015190,-11.2637,730.2363,15.4247,18.5616,0.43194351
15.0000,-0.015110,-11.2042,730.2958,15.3420,18.5616,0.42803846
15.0000,-0.015030,-11.1448,730.3552,15.2594,18.5616,0.42415046
15.0000,-0.014950,-11.0854,730.4146,15.1768,18.5616,0.42027956
15.0000,-0.014870,-11.0259,730.4741,15.0942,18.5616,0.41642584
15.0000,-0.014790,-10.9665,730.5335,15.0116,18.5616,0.41258933
15.0000,-0.014709,-10.9070,730.5930,14.9290,18.5616,0.40877009
15.0000,-0.014629,-10.8476,730.6524,14.8465,18.5616,0.40496818
15.0000,-0.014549,-10.7882,730.7118,14.7639,18.5616,0.40118366
15.0000,-0.014469,-10.7287,730.7713,14.6814,18.5616,0.39741657
15.0000,-0.014389,-10.6693,730.8307,14.5988,18.5616,0.39366697
15.0000,-0.014309,-10.6098,730.8902,14.5163,18.5616,0.38993491
