x_mm,L_mm,r_mag,p_norm
1.152305,2.50,0.70,0.81439349
1.157315,2.50,0.70,1.33841033
1.162325,2.50,0.70,1.64758548
1.167335,2.50,0.70,1.67520843
1.172345,2.50,0.70,1.41577204
1.177355,2.50,0.70,0.92357686
1.182365,2.50,0.70,0.36530773
1.187375,2.50,0.70,0.57799210
1.192385,2.50,0.70,1.14835569
1.197395,2.50,0.70,1.55537310
1.202405,2.50,0.70,1.69960873
1.207415,2.50,0.70,1.55195730
1.212425,2.50,0.70,1.14223245
1.217435,2.50,0.70,0.57109901
1.222445,2.50,0.70,0.37014470
1.227455,2.50,0.70,0.93038317
1.232465,2.50,0.70,1.42039559
1.237475,2.50,0.70,1.67661204
1.242485,2.50,0.70,1.64548975
1.247495,2.50,0.70,1.33323391
1.252505,2.50,0.70,0.80737713
1.257515,2.50,0.70,0.30751422
1.262525,2.50,0.70,0.69557500
1.267535,2.50,0.70,1.24718740
1.272545,2.50,0.70,1.60694568
1.277555,2.50,0.70,1.69334322
1.282565,2.50,0.70,1.48908922
1.287575,2.50,0.70,1.03601200
1.292585,2.50,0.70,0.46000089
1.297595,2.50,0.70,0.46584092
1.302605,2.50,0.70,1.04205187
1.307615,2.50,0.70,1.49283744
1.312625,2.50,0.70,1.69399742
1.317635,2.50,0.70,1.60437627
1.322645,2.50,0.70,1.24191559
1.327655,2.50,0.70,0.68900851
1.332665,2.50,0.70,0.30930369
1.337675,2.50,0.70,0.81388143
1.342685,2.50,0.70,1.33803480
1.347695,2.50,0.70,1.64743156
1.352705,2.50,0.70,1.67530456
1.357715,2.50,0.70,1.41609689
1.362725,2.50,0.70,0.92405349
1.367735,2.50,0.70,0.36562362
1.372745,2.50,0.70,0.57748289
1.377756,2.50,0.70,1.14791096
1.382766,2.50,0.70,1.55512431
1.387776,2.50,0.70,1.69960456
1.392786,2.50,0.70,1.55219643
1.397796,2.50,0.70,1.14266231
1.402806,2.50,0.70,0.57157396
1.407816,2.50,0.70,0.36976914
1.412826,2.50,0.70,0.92988715
1.417836,2.50,0.70,1.42005965
1.422846,2.50,0.70,1.67650736
1.427856,2.50,0.70,1.64563487
1.432866,2.50,0.70,1.33359735
1.437876,2.50,0.70,0.80786641
1.442886,2.50,0.70,0.30761538
1.447896,2.50,0.70,0.69505659
1.452906,2.50,0.70,1.24677534
1.457916,2.50,0.70,1.60674346
1.462926,2.50,0.70,1.69338932
1.467936,2.50,0.70,1.48937236
1.472946,2.50,0.70,1.03646817
1.477956,2.50,0.70,0.46042793
1.482966,2.50,0.70,0.46536965
1.487976,2.50,0.70,1.04157876
1.492986,2.50,0.70,1.49254382
1.497996,2.50,0.70,1.69394272
1.503006,2.50,0.70,1.60456912
1.508016,2.50,0.70,1.24231420
1.513026,2.50,0.70,0.68949947
1.518036,2.50,0.70,0.30912782
1.523046,2.50,0.70,0.81336932
1.528056,2.50,0.70,1.33765911
1.533066,2.50,0.70,1.64727744
1.538076,2.50,0.70,1.67540049
1.543086,2.50,0.70,1.41642157
1.548096,2.50,0.70,0.92453006
1.553106,2.50,0.70,0.36594020
1.558116,2.50,0.70,0.57697375
1.563126,2.50,0.70,1.14746611
1.568136,2.50,0.70,1.55487533
1.573146,2.50,0.70,1.69960018
1.578156,2.50,0.70,1.55243536
1.583166,2.50,0.70,1.14309205
1.588176,2.50,0.70,0.57204905
1.593186,2.50,0.70,0.36939415
1.598196,2.50,0.70,0.92939104
1.603206,2.50,0.70,1.41972353
1.608216,2.50,0.70,1.67640247
1.613226,2.50,0.70,1.64577978
1.618236,2.50,0.70,1.33396064
1.623246,2.50,0.70,0.80835567
1.628257,2.50,0.70,0.30771769
1.633267,2.50,0.70,0.69453816
1.638277,2.50,0.70,1.24636312
1.643287,2.50,0.70,1.60654104
1.648297,2.50,0.70,1.69343521
1.653307,2.50,0.70,1.48965533
1.658317,2.50,0.70,1.03692424
1.663327,2.50,0.70,0.46085530
1.668337,2.50,0.70,0.46489862
1.673347,2.50,0.70,1.04110554
1.678357,2.50,0.70,1.49225001
1.683367,2.50,0.70,1.69388780
1.688377,2.50,0.70,1.60476177
1.693387,2.50,0.70,1.24271267
1.698397,2.50,0.70,0.68999047
1.703407,2.50,0.70,0.30895303
1.708417,2.50,0.70,0.81285714
1.713427,2.50,0.70,1.33728326
1.718437,2.50,0.70,1.64712312
1.723447,2.50,0.70,1.67549621
1.728457,2.50,0.70,1.41674609
1.733467,2.50,0.70,0.92500657
1.738477,2.50,0.70,0.36625747
1.743487,2.50,0.70,0.57646468
1.748497,2.50,0.70,1.14702112
1.753507,2.50,0.70,1.55462616
1.758517,2.50,0.70,1.69959558
1.763527,2.50,0.70,1.55267411
1.768537,2.50,0.70,1.14352167
1.773547,2.50,0.70,0.57252427
1.778557,2.50,0.70,0.36901974
1.783567,2.50,0.70,0.92889484
1.788577,2.50,0.70,1.41938723
1.793587,2.50,0.70,1.67629737
1.798597,2.50,0.70,1.64592448
1.803607,2.50,0.70,1.33432378
1.808617,2.50,0.70,0.80884491
1.813627,2.50,0.70,0.30782115
1.818637,2.50,0.70,0.69401973
1.823647,2.50,0.70,1.24595076
1.828657,2.50,0.70,1.60633842
1.833667,2.50,0.70,1.69348089
1.838677,2.50,0.70,1.48993811
1.843687,2.50,0.70,1.03738022
1.848697,2.50,0.70,0.46128299
1.853707,2.50,0.70,0.46442783
1.858717,2.50,0.70,1.04063220
1.863727,2.50,0.70,1.49195602
1.868737,2.50,0.70,1.69383267
1.873747,2.50,0.70,1.60495422
1.878758,2.50,0.70,1.24311100
1.883768,2.50,0.70,0.69048150
1.888778,2.50,0.70,0.30877932
1.893788,2.50,0.70,0.81234492
1.898798,2.50,0.70,1.33690724
1.903808,2.50,0.70,1.64696858
1.908818,2.50,0.70,1.67559172
1.913828,2.50,0.70,1.41707044
1.918838,2.50,0.70,0.92548300
1.923848,2.50,0.70,0.36657544
1.928858,2.50,0.70,0.57595569
1.933868,2.50,0.70,1.14657600
1.938878,2.50,0.70,1.55437679
1.943888,2.50,0.70,1.69959077
1.948898,2.50,0.70,1.55291266
1.953908,2.50,0.70,1.14395117
1.958918,2.50,0.70,0.57299963
1.963928,2.50,0.70,0.36864591
1.968938,2.50,0.70,0.92839856
1.973948,2.50,0.70,1.41905076
1.978958,2.50,0.70,1.67619206
1.983968,2.50,0.70,1.64606898
1.988978,2.50,0.70,1.33468676
1.993988,2.50,0.70,0.80933412
1.998998,2.50,0.70,0.30792576
2.004008,2.50,0.70,0.69350129
2.009018,2.50,0.70,1.24553824
2.014028,2.50,0.70,1.60613560
2.019038,2.50,0.70,1.69352635
2.024048,2.50,0.70,1.49022072
2.029058,2.50,0.70,1.03783610
2.034068,2.50,0.70,0.46171102
2.039078,2.50,0.70,0.46395727
2.044088,2.50,0.70,1.04015876
2.049098,2.50,0.70,1.49166184
2.054108,2.50,0.70,1.69377732
2.059118,2.50,0.70,1.60514647
2.064128,2.50,0.70,1.24350919
2.069138,2.50,0.70,0.69097256
2.074148,2.50,0.70,0.30860669
2.079158,2.50,0.70,0.81183263
2.084168,2.50,0.70,1.33653107
2.089178,2.50,0.70,1.64681384
2.094188,2.50,0.70,1.67568702
2.099198,2.50,0.70,1.41739461
2.104208,2.50,0.70,0.92595938
2.109218,2.50,0.70,0.36689409
2.114228,2.50,0.70,0.57544678
2.119238,2.50,0.70,1.14613074
2.124248,2.50,0.70,1.55412722
2.129259,2.50,0.70,1.69958574
2.134269,2.50,0.70,1.55315103
2.139279,2.50,0.70,1.14438055
2.144289,2.50,0.70,0.57347512
2.149299,2.50,0.70,0.36827265
2.154309,2.50,0.70,0.92790218
2.159319,2.50,0.70,1.41871412
2.164329,2.50,0.70,1.67608653
2.169339,2.50,0.70,1.64621328
2.174349,2.50,0.70,1.33504959
2.179359,2.50,0.70,0.80982331
2.184369,2.50,0.70,0.30803152
2.189379,2.50,0.70,0.69298284
2.194389,2.50,0.70,1.24512558
2.199399,2.50,0.70,1.60593258
2.204409,2.50,0.70,1.69357160
2.209419,2.50,0.70,1.49050314
2.214429,2.50,0.70,1.03829189
2.219439,2.50,0.70,0.46213936
2.224449,2.50,0.70,0.46348696
2.229459,2.50,0.70,1.03968520
2.234469,2.50,0.70,1.49136747
2.239479,2.50,0.70,1.69372176
2.244489,2.50,0.70,1.60533853
2.249499,2.50,0.70,1.24390724
2.254509,2.50,0.70,0.69146366
2.259519,2.50,0.70,0.30843515
2.264529,2.50,0.70,0.81132029
2.269539,2.50,0.70,1.33615472
2.274549,2.50,0.70,1.64665889
2.279559,2.50,0.70,1.67578211
2.284569,2.50,0.70,1.41771862
2.289579,2.50,0.70,0.92643568
2.294589,2.50,0.70,0.36721343
2.299599,2.50,0.70,0.57493794
2.304609,2.50,0.70,1.14568536
2.309619,2.50,0.70,1.55387746
2.314629,2.50,0.70,1.69958051
2.319639,2.50,0.70,1.55338920
2.324649,2.50,0.70,1.14480981
2.329659,2.50,0.70,0.57395075
2.334669,2.50,0.70,0.36789998
2.339679,2.50,0.70,0.92740572
2.344689,2.50,0.70,1.41837730
2.349699,2.50,0.70,1.67598080
2.354709,2.50,0.70,1.64635737
2.359719,2.50,0.70,1.33541226
2.364729,2.50,0.70,0.81031246
2.369739,2.50,0.70,0.30813842
2.374749,2.50,0.70,0.69246439
2.379760,2.50,0.70,1.24471277
2.384770,2.50,0.70,1.60572936
2.389780,2.50,0.70,1.69361664
2.394790,2.50,0.70,1.49078538
2.399800,2.50,0.70,1.03874758
2.404810,2.50,0.70,0.46256803
2.409820,2.50,0.70,0.46301689
2.414830,2.50,0.70,1.03921153
2.419840,2.50,0.70,1.49107292
2.424850,2.50,0.70,1.69366599
2.429860,2.50,0.70,1.60553038
2.434870,2.50,0.70,1.24430515
2.439880,2.50,0.70,0.69195479
2.444890,2.50,0.70,0.30826469
2.449900,2.50,0.70,0.81080790
2.454910,2.50,0.70,1.33577822
2.459920,2.50,0.70,1.64650373
2.464930,2.50,0.70,1.67587699
2.469940,2.50,0.70,1.41804246
2.474950,2.50,0.70,0.92691192
2.479960,2.50,0.70,0.36753346
2.484970,2.50,0.70,0.57442917
2.489980,2.50,0.70,1.14523984
2.494990,2.50,0.70,1.55362751
2.500000,2.50,0.70,1.69957505
0.000000,2.50,0.30,0.73883447
0.005010,2.50,0.30,0.95910451
0.010020,2.50,0.30,1.18712718
0.015030,2.50,0.30,1.29689402
0.020040,2.50,0.30,1.24612811
0.025050,2.50,0.30,1.05336749
0.030060,2.50,0.30,0.80807007
0.035070,2.50,0.30,0.70205384
0.040080,2.50,0.30,0.85903153
0.045090,2.50,0.30,1.10537027
0.050100,2.50,0.30,1.27130379
0.055110,2.50,0.30,1.28585241
0.060120,2.50,0.30,1.14376803
0.065130,2.50,0.30,0.90268873
0.070140,2.50,0.30,0.71284235
0.075150,2.50,0.30,0.77216027
0.080160,2.50,0.30,1.00961886
0.085170,2.50,0.30,1.22078502
0.090180,2.50,0.30,1.29983357
0.095190,2.50,0.30,1.21731970
0.100200,2.50,0.30,1.00407417
0.105210,2.50,0.30,0.76806524
0.110220,2.50,0.30,0.71482271
0.115230,2.50,0.30,0.90823191
0.120240,2.50,0.30,1.14831883
0.125251,2.50,0.30,1.28730488
0.130261,2.50,0.30,1.26913844
0.135271,2.50,0.30,1.10037597
0.140281,2.50,0.30,0.85373793
0.145291,2.50,0.30,0.70135784
0.150301,2.50,0.30,0.81285894
0.155311,2.50,0.30,1.05867941
0.160321,2.50,0.30,1.24895209
0.165331,2.50,0.30,1.29615133
0.170341,2.50,0.30,1.18307294
0.175351,2.50,0.30,0.95346204
0.180361,2.50,0.30,0.73566631
0.185371,2.50,0.30,0.73868848
0.190381,2.50,0.30,0.95887054
0.195391,2.50,0.30,1.18695863
0.200401,2.50,0.30,1.29685434
0.205411,2.50,0.30,1.24622492
0.210421,2.50,0.30,1.05355679
0.215431,2.50,0.30,0.80823268
0.220441,2.50,0.30,0.70200083
0.225451,2.50,0.30,0.85880795
0.230461,2.50,0.30,1.10516400
0.235471,2.50,0.30,1.27120887
0.240481,2.50,0.30,1.28589681
0.245491,2.50,0.30,1.14392946
0.250501,2.50,0.30,0.90288309
0.255511,2.50,0.30,0.71289250
0.260521,2.50,0.30,0.77197936
0.265531,2.50,0.30,1.00938928
0.270541,2.50,0.30,1.22063918
0.275551,2.50,0.30,1.29982209
0.280561,2.50,0.30,1.21744034
0.285571,2.50,0.30,1.00427088
0.290581,2.50,0.30,0.76819894
0.295591,2.50,0.30,0.71472021
0.300601,2.50,0.30,0.90799960
0.305611,2.50,0.30,1.14812990
0.310621,2.50,0.30,1.28723718
0.315631,2.50,0.30,1.26920961
0.320641,2.50,0.30,1.10055323
0.325651,2.50,0.30,0.85392061
0.330661,2.50,0.30,0.70135725
0.335671,2.50,0.30,0.81265227
0.340681,2.50,0.30,1.05845931
0.345691,2.50,0.30,1.24883091
0.350701,2.50,0.30,1.29616796
0.355711,2.50,0.30,1.18321526
0.360721,2.50,0.30,0.95366076
0.365731,2.50,0.30,0.73576221
0.370741,2.50,0.30,0.73854265
0.375752,2.50,0.30,0.95863657
0.380762,2.50,0.30,1.18678999
0.385772,2.50,0.30,1.29681455
0.390782,2.50,0.30,1.24632162
0.395792,2.50,0.30,1.05374604
0.400802,2.50,0.30,0.80839540
0.405812,2.50,0.30,0.70194804
0.410822,2.50,0.30,0.85858443
0.415832,2.50,0.30,1.10495766
0.420842,2.50,0.30,1.27111383
0.425852,2.50,0.30,1.28594109
0.430862,2.50,0.30,1.14409083
0.435872,2.50,0.30,0.90307749
0.440882,2.50,0.30,0.71294286
0.445892,2.50,0.30,0.77179858
0.450902,2.50,0.30,1.00915967
0.455912,2.50,0.30,1.22049325
0.460922,2.50,0.30,1.29981050
0.465932,2.50,0.30,1.21756087
0.470942,2.50,0.30,1.00446756
0.475952,2.50,0.30,0.76833279
0.480962,2.50,0.30,0.71461790
0.485972,2.50,0.30,0.90776731
0.490982,2.50,0.30,1.14794088
0.495992,2.50,0.30,1.28716936
0.501002,2.50,0.30,1.26928068
0.506012,2.50,0.30,1.10073043
0.511022,2.50,0.30,0.85410336
0.516032,2.50,0.30,0.70135688
0.521042,2.50,0.30,0.81244569
0.526052,2.50,0.30,1.05823916
0.531062,2.50,0.30,1.24870963
0.536072,2.50,0.30,1.29618448
0.541082,2.50,0.30,1.18335749
0.546092,2.50,0.30,0.95385949
0.551102,2.50,0.30,0.73585829
0.556112,2.50,0.30,0.73839699
0.561122,2.50,0.30,0.95840258
0.566132,2.50,0.30,1.18662125
0.571142,2.50,0.30,1.29677463
0.576152,2.50,0.30,1.24641822
0.581162,2.50,0.30,1.05393526
0.586172,2.50,0.30,0.80855823
0.591182,2.50,0.30,0.70189547
0.596192,2.50,0.30,0.85836095
0.601202,2.50,0.30,1.10475125
0.606212,2.50,0.30,1.27101868
0.611222,2.50,0.30,1.28598526
0.616232,2.50,0.30,1.14425212
0.621242,2.50,0.30,0.90327193
0.626253,2.50,0.30,0.71299343
0.631263,2.50,0.30,0.77161793
0.636273,2.50,0.30,1.00893003
0.641283,2.50,0.30,1.22034722
0.646293,2.50,0.30,1.29979878
0.651303,2.50,0.30,1.21768132
0.656313,2.50,0.30,1.00466423
0.661323,2.50,0.30,0.76846678
0.666333,2.50,0.30,0.71451579
0.671343,2.50,0.30,0.90753504
0.676353,2.50,0.30,1.14775178
0.681363,2.50,0.30,1.28710143
0.686373,2.50,0.30,1.26935164
0.691383,2.50,0.30,1.10090758
0.696393,2.50,0.30,0.85428618
0.701403,2.50,0.30,0.70135673
0.706413,2.50,0.30,0.81223919
0.711423,2.50,0.30,1.05801896
0.716433,2.50,0.30,1.24858823
0.721443,2.50,0.30,1.29620088
0.726453,2.50,0.30,1.18349964
0.731463,2.50,0.30,0.95405822
0.736473,2.50,0.30,0.73595456
0.741483,2.50,0.30,0.73825150
0.746493,2.50,0.30,0.95816859
0.751503,2.50,0.30,1.18645242
0.756513,2.50,0.30,1.29673460
0.761523,2.50,0.30,1.24651471
0.766533,2.50,0.30,1.05412443
0.771543,2.50,0.30,0.80872117
0.776553,2.50,0.30,0.70184312
0.781563,2.50,0.30,0.85813752
0.786573,2.50,0.30,1.10454477
0.791583,2.50,0.30,1.27092342
0.796593,2.50,0.30,1.28602931
0.801603,2.50,0.30,1.14441333
0.806613,2.50,0.30,0.90346640
0.811623,2.50,0.30,0.71304421
0.816633,2.50,0.30,0.77143740
0.821643,2.50,0.30,1.00870035
0.826653,2.50,0.30,1.22020108
0.831663,2.50,0.30,1.29978695
0.836673,2.50,0.30,1.21780167
0.841683,2.50,0.30,1.00486088
0.846693,2.50,0.30,0.76860092
0.851703,2.50,0.30,0.71441387
0.856713,2.50,0.30,0.90730278
0.861723,2.50,0.30,1.14756260
0.866733,2.50,0.30,1.28703338
0.871743,2.50,0.30,1.26942249
0.876754,2.50,0.30,1.10108467
0.881764,2.50,0.30,0.85446907
0.886774,2.50,0.30,0.70135680
0.891784,2.50,0.30,0.81203277
0.896794,2.50,0.30,1.05779870
0.901804,2.50,0.30,1.24846672
0.906814,2.50,0.30,1.29621716
0.911824,2.50,0.30,1.18364171
0.916834,2.50,0.30,0.95425696
0.921844,2.50,0.30,0.73605100
0.926854,2.50,0.30,0.73810617
0.931864,2.50,0.30,0.95793458
0.936874,2.50,0.30,1.18628350
0.941884,2.50,0.30,1.29669445
0.946894,2.50,0.30,1.24661111
0.951904,2.50,0.30,1.05431357
0.956914,2.50,0.30,0.80888422
0.961924,2.50,0.30,0.70179099
0.966934,2.50,0.30,0.85791414
0.971944,2.50,0.30,1.10433822
0.976954,2.50,0.30,1.27082804
0.981964,2.50,0.30,1.28607324
0.986974,2.50,0.30,1.14457448
0.991984,2.50,0.30,0.90366091
0.996994,2.50,0.30,0.71309520
1.002004,2.50,0.30,0.77125699
1.007014,2.50,0.30,1.00847064
1.012024,2.50,0.30,1.22005484
1.017034,2.50,0.30,1.29977499
1.022044,2.50,0.30,1.21792192
1.027054,2.50,0.30,1.00505752
1.032064,2.50,0.30,0.76873521
1.037074,2.50,0.30,0.71431216
1.042084,2.50,0.30,0.90707055
1.047094,2.50,0.30,1.14737334
1.052104,2.50,0.30,1.28696521
1.057114,2.50,0.30,1.26949323
1.062124,2.50,0.30,1.10126171
1.067134,2.50,0.30,0.85465203
1.072144,2.50,0.30,0.70135710
1.077154,2.50,0.30,0.81182645
1.082164,2.50,0.30,1.05757840
1.087174,2.50,0.30,1.24834511
1.092184,2.50,0.30,1.29623332
1.097194,2.50,0.30,1.18378369
1.102204,2.50,0.30,0.95445571
1.107214,2.50,0.30,0.73614763
1.112224,2.50,0.30,0.73796100
1.117234,2.50,0.30,0.95770057
1.122244,2.50,0.30,1.18611448
1.127255,2.50,0.30,1.29665417
1.132265,2.50,0.30,1.24670739
1.137275,2.50,0.30,1.05450267
1.142285,2.50,0.30,0.80904737
1.147295,2.50,0.30,0.70173907
1.152305,2.50,0.30,0.85769081
1.157315,2.50,0.30,1.10413160
1.162325,2.50,0.30,1.27073255
1.167335,2.50,0.30,1.28611706
1.172345,2.50,0.30,1.14473555
1.177355,2.50,0.30,0.90385546
1.182365,2.50,0.30,0.71314640
1.187375,2.50,0.30,0.77107671
1.192385,2.50,0.30,1.00824090
1.197395,2.50,0.30,1.21990850
1.202405,2.50,0.30,1.29976292
1.207415,2.50,0.30,1.21804208
1.212425,2.50,0.30,1.00525414
1.217435,2.50,0.30,0.76886964
1.222445,2.50,0.30,0.71421064
1.227455,2.50,0.30,0.90683833
1.232465,2.50,0.30,1.14718399
1.237475,2.50,0.30,1.28689692
1.242485,2.50,0.30,1.26956386
1.247495,2.50,0.30,1.10143869
1.252505,2.50,0.30,0.85483507
1.257515,2.50,0.30,0.70135762
1.262525,2.50,0.30,0.81162021
1.267535,2.50,0.30,1.05735804
1.272545,2.50,0.30,1.24822338
1.277555,2.50,0.30,1.29624937
1.282565,2.50,0.30,1.18392558
1.287575,2.50,0.30,0.95465447
1.292585,2.50,0.30,0.73624444
1.297595,2.50,0.30,0.73781600
1.302605,2.50,0.30,0.95746654
1.307615,2.50,0.30,1.18594538
1.312625,2.50,0.30,1.29661378
1.317635,2.50,0.30,1.24680358
1.322645,2.50,0.30,1.05469174
1.327655,2.50,0.30,0.80921063
1.332665,2.50,0.30,0.70168738
1.337675,2.50,0.30,0.85746753
1.342685,2.50,0.30,1.10392492
1.347695,2.50,0.30,1.27063694
1.352705,2.50,0.30,1.28616077
1.357715,2.50,0.30,1.14489656
1.362725,2.50,0.30,0.90405005
1.367735,2.50,0.30,0.71319781
1.372745,2.50,0.30,0.77089656
1.377756,2.50,0.30,1.00801113
1.382766,2.50,0.30,1.21976205
1.387776,2.50,0.30,1.29975072
1.392786,2.50,0.30,1.21816214
1.397796,2.50,0.30,1.00545074
1.402806,2.50,0.30,0.76900422
1.407816,2.50,0.30,0.71410932
1.412826,2.50,0.30,0.90660613
1.417836,2.50,0.30,1.14699456
1.422846,2.50,0.30,1.28682852
1.427856,2.50,0.30,1.26963437
1.432866,2.50,0.30,1.10161561
1.437876,2.50,0.30,0.85501817
1.442886,2.50,0.30,0.70135837
1.447896,2.50,0.30,0.81141405
1.452906,2.50,0.30,1.05713763
1.457916,2.50,0.30,1.24810155
1.462926,2.50,0.30,1.29626530
1.467936,2.50,0.30,1.18406739
1.472946,2.50,0.30,0.95485324
1.477956,2.50,0.30,0.73634143
1.482966,2.50,0.30,0.73767116
1.487976,2.50,0.30,0.95723251
1.492986,2.50,0.30,1.18577617
1.497996,2.50,0.30,1.29657327
1.503006,2.50,0.30,1.24689965
1.508016,2.50,0.30,1.05488076
1.513026,2.50,0.30,0.80937400
1.518036,2.50,0.30,0.70163590
1.523046,2.50,0.30,0.85724431
1.528056,2.50,0.30,1.10371817
1.533066,2.50,0.30,1.27054122
1.538076,2.50,0.30,1.28620436
1.543086,2.50,0.30,1.14505749
1.548096,2.50,0.30,0.90424467
1.553106,2.50,0.30,0.71324943
1.558116,2.50,0.30,0.77071654
1.563126,2.50,0.30,1.00778132
1.568136,2.50,0.30,1.21961551
1.573146,2.50,0.30,1.29973841
1.578156,2.50,0.30,1.21828211
1.583166,2.50,0.30,1.00564732
1.588176,2.50,0.30,0.76913894
1.593186,2.50,0.30,0.71400819
1.598196,2.50,0.30,0.90637394
1.603206,2.50,0.30,1.14680505
1.608216,2.50,0.30,1.28676000
1.613226,2.50,0.30,1.26970478
1.618236,2.50,0.30,1.10179247
1.623246,2.50,0.30,0.85520135
1.628257,2.50,0.30,0.70135933
1.633267,2.50,0.30,0.81120799
1.638277,2.50,0.30,1.05691717
1.643287,2.50,0.30,1.24797961
1.648297,2.50,0.30,1.29628110
1.653307,2.50,0.30,1.18420912
1.658317,2.50,0.30,0.95505201
1.663327,2.50,0.30,0.73643861
1.668337,2.50,0.30,0.73752649
1.673347,2.50,0.30,0.95699847
1.678357,2.50,0.30,1.18560688
1.683367,2.50,0.30,1.29653264
1.688377,2.50,0.30,1.24699563
1.693387,2.50,0.30,1.05506974
1.698397,2.50,0.30,0.80953748
1.703407,2.50,0.30,0.70158464
1.708417,2.50,0.30,0.85702113
1.713427,2.50,0.30,1.10351134
1.718437,2.50,0.30,1.27044538
1.723447,2.50,0.30,1.28624783
1.728457,2.50,0.30,1.14521834
1.733467,2.50,0.30,0.90443933
1.738477,2.50,0.30,0.71330126
1.743487,2.50,0.30,0.77053664
1.748497,2.50,0.30,1.00755148
1.753507,2.50,0.30,1.21946886
1.758517,2.50,0.30,1.29972597
1.763527,2.50,0.30,1.21840198
1.768537,2.50,0.30,1.00584389
1.773547,2.50,0.30,0.76927381
1.778557,2.50,0.30,0.71390727
1.783567,2.50,0.30,0.90614178
1.788577,2.50,0.30,1.14661546
1.793587,2.50,0.30,1.28669136
1.798597,2.50,0.30,1.26977508
1.803607,2.50,0.30,1.10196928
1.808617,2.50,0.30,0.85538459
1.813627,2.50,0.30,0.70136052
1.818637,2.50,0.30,0.81100201
1.823647,2.50,0.30,1.05669665
1.828657,2.50,0.30,1.24785756
1.833667,2.50,0.30,1.29629679
1.838677,2.50,0.30,1.18435076
1.843687,2.50,0.30,0.95525079
1.848697,2.50,0.30,0.73653596
1.853707,2.50,0.30,0.73738198
1.858717,2.50,0.30,0.95676441
1.863727,2.50,0.30,1.18543749
1.868737,2.50,0.30,1.29649189
1.873747,2.50,0.30,1.24709150
1.878758,2.50,0.30,1.05525869
1.883768,2.50,0.30,0.80970107
1.888778,2.50,0.30,0.70153361
1.893788,2.50,0.30,0.85679800
1.898798,2.50,0.30,1.10330445
1.903808,2.50,0.30,1.27034943
1.908818,2.50,0.30,1.28629119
1.913828,2.50,0.30,1.14537913
1.918838,2.50,0.30,0.90463403
1.923848,2.50,0.30,0.71335330
1.928858,2.50,0.30,0.77035686
1.933868,2.50,0.30,1.00732161
1.938878,2.50,0.30,1.21932211
1.943888,2.50,0.30,1.29971342
1.948898,2.50,0.30,1.21852175
1.953908,2.50,0.30,1.00604044
1.958918,2.50,0.30,0.76940883
1.963928,2.50,0.30,0.71380654
1.968938,2.50,0.30,0.90590963
1.973948,2.50,0.30,1.14642579
1.978958,2.50,0.30,1.28662260
1.983968,2.50,0.30,1.26984526
1.988978,2.50,0.30,1.10214603
1.993988,2.50,0.30,0.85556791
1.998998,2.50,0.30,0.70136194
2.004008,2.50,0.30,0.81079612
2.009018,2.50,0.30,1.05647608
2.014028,2.50,0.30,1.24773540
2.019038,2.50,0.30,1.29631237
2.024048,2.50,0.30,1.18449231
2.029058,2.50,0.30,0.95544958
2.034068,2.50,0.30,0.73663350
2.039078,2.50,0.30,0.73723764
2.044088,2.50,0.30,0.95653035
2.049098,2.50,0.30,1.18526801
2.054108,2.50,0.30,1.29645102
2.059118,2.50,0.30,1.24718727
2.064128,2.50,0.30,1.05544760
2.069138,2.50,0.30,0.80986476
2.074148,2.50,0.30,0.70148279
2.079158,2.50,0.30,0.85657493
2.084168,2.50,0.30,1.10309750
2.089178,2.50,0.30,1.27025337
2.094188,2.50,0.30,1.28633444
2.099198,2.50,0.30,1.14553984
2.104208,2.50,0.30,0.90482876
2.109218,2.50,0.30,0.71340555
2.114228,2.50,0.30,0.77017722
2.119238,2.50,0.30,1.00709170
2.124248,2.50,0.30,1.21917526
2.129259,2.50,0.30,1.29970075
2.134269,2.50,0.30,1.21864143
2.139279,2.50,0.30,1.00623697
2.144289,2.50,0.30,0.76954399
2.149299,2.50,0.30,0.71370602
2.154309,2.50,0.30,0.90567751
2.159319,2.50,0.30,1.14623603
2.164329,2.50,0.30,1.28655372
2.169339,2.50,0.30,1.26991534
2.174349,2.50,0.30,1.10232272
2.179359,2.50,0.30,0.85575130
2.184369,2.50,0.30,0.70136357
2.189379,2.50,0.30,0.81059031
2.194389,2.50,0.30,1.05625546
2.199399,2.50,0.30,1.24761313
2.204409,2.50,0.30,1.29632782
2.209419,2.50,0.30,1.18463378
2.214429,2.50,0.30,0.95564838
2.219439,2.50,0.30,0.73673122
2.224449,2.50,0.30,0.73709347
2.229459,2.50,0.30,0.95629628
2.234469,2.50,0.30,1.18509844
2.239479,2.50,0.30,1.29641003
2.244489,2.50,0.30,1.24728293
2.249499,2.50,0.30,1.05563646
2.254509,2.50,0.30,0.81002856
2.259519,2.50,0.30,0.70143219
2.264529,2.50,0.30,0.85635190
2.269539,2.50,0.30,1.10289047
2.274549,2.50,0.30,1.27015719
2.279559,2.50,0.30,1.28637757
2.284569,2.50,0.30,1.14570048
2.289579,2.50,0.30,0.90502354
2.294589,2.50,0.30,0.71345800
2.299599,2.50,0.30,0.76999770
2.304609,2.50,0.30,1.00686176
2.309619,2.50,0.30,1.21902831
2.314629,2.50,0.30,1.29968795
2.319639,2.50,0.30,1.21876102
2.324649,2.50,0.30,1.00643349
