x_mm,L_mm,alpha_Npm,S,contrast
0.568562,2.50,0.500,0.798456,79.6272
0.576923,2.50,0.500,0.798463,79.6331
0.585284,2.50,0.500,0.798470,79.6389
0.593645,2.50,0.500,0.798476,79.6448
0.602007,2.50,0.500,0.798483,79.6507
0.610368,2.50,0.500,0.798490,79.6566
0.618729,2.50,0.500,0.798496,79.6624
0.627090,2.50,0.500,0.798503,79.6683
0.635452,2.50,0.500,0.798510,79.6742
0.643813,2.50,0.500,0.798516,79.6800
0.652174,2.50,0.500,0.798523,79.6859
0.660535,2.50,0.500,0.798530,79.6918
0.668896,2.50,0.500,0.798536,79.6977
0.677258,2.50,0.500,0.798543,79.7035
0.685619,2.50,0.500,0.798550,79.7094
0.693980,2.50,0.500,0.798556,79.7153
0.702341,2.50,0.500,0.798563,79.7212
0.710702,2.50,0.500,0.798570,79.7270
0.719064,2.50,0.500,0.798577,79.7329
0.727425,2.50,0.500,0.798583,79.7388
0.735786,2.50,0.500,0.798590,79.7447
0.744147,2.50,0.500,0.798597,79.7506
0.752508,2.50,0.500,0.798603,79.7564
0.760870,2.50,0.500,0.798610,79.7623
0.769231,2.50,0.500,0.798617,79.7682
0.777592,2.50,0.500,0.798623,79.7741
0.785953,2.50,0.500,0.798630,79.7800
0.794314,2.50,0.500,0.798637,79.7858
0.802676,2.50,0.500,0.798643,79.7917
0.811037,2.50,0.500,0.798650,79.7976
0.819398,2.50,0.500,0.798657,79.8035
0.827759,2.50,0.500,0.798663,79.8094
0.836120,2.50,0.500,0.798670,79.8153
0.844482,2.50,0.500,0.798677,79.8212
0.852843,2.50,0.500,0.798683,79.8271
0.861204,2.50,0.500,0.798690,79.8329
0.869565,2.50,0.500,0.798697,79.8388
0.877926,2.50,0.500,0.798703,79.8447
0.886288,2.50,0.500,0.798710,79.8506
0.894649,2.50,0.500,0.798717,79.8565
0.903010,2.50,0.500,0.798723,79.8624
0.911371,2.50,0.500,0.798730,79.8683
0.919732,2.50,0.500,0.798737,79.8742
0.928094,2.50,0.500,0.798743,79.8801
0.936455,2.50,0.500,0.798750,79.8860
0.944816,2.50,0.500,0.798757,79.8919
0.953177,2.50,0.500,0.798763,79.8978
0.961538,2.50,0.500,0.798770,79.9037
0.969900,2.50,0.500,0.798777,79.9096
0.978261,2.50,0.500,0.798784,79.9155
0.986622,2.50,0.500,0.798790,79.9214
0.994983,2.50,0.500,0.798797,79.9273
1.003344,2.50,0.500,0.798804,79.9332
1.011706,2.50,0.500,0.798810,79.9391
1.020067,2.50,0.500,0.798817,79.9450
1.028428,2.50,0.500,0.798824,79.9509
1.036789,2.50,0.500,0.798830,79.9568
1.045151,2.50,0.500,0.798837,79.9627
1.053512,2.50,0.500,0.798844,79.9686
1.061873,2.50,0.500,0.798850,79.9745
1.070234,2.50,0.500,0.798857,79.9804
1.078595,2.50,0.500,0.798864,79.9863
1.086957,2.50,0.500,0.798870,79.9922
1.095318,2.50,0.500,0.798877,79.9981
1.103679,2.50,0.500,0.798884,80.0040
1.112040,2.50,0.500,0.798890,80.0099
1.120401,2.50,0.500,0.798897,80.0158
1.128763,2.50,0.500,0.798904,80.0217
1.137124,2.50,0.500,0.798910,80.0276
1.145485,2.50,0.500,0.798917,80.0336
1.153846,2.50,0.500,0.798924,80.0395
1.162207,2.50,0.500,0.798930,80.0454
1.170569,2.50,0.500,0.798937,80.0513
1.178930,2.50,0.500,0.798944,80.0572
1.187291,2.50,0.500,0.798951,80.0631
1.195652,2.50,0.500,0.798957,80.0690
1.204013,2.50,0.500,0.798964,80.0750
1.212375,2.50,0.500,0.798971,80.0809
1.220736,2.50,0.500,0.798977,80.0868
1.229097,2.50,0.500,0.798984,80.0927
1.237458,2.50,0.500,0.798991,80.0986
1.245819,2.50,0.500,0.798997,80.1045
1.254181,2.50,0.500,0.799004,80.1105
1.262542,2.50,0.500,0.799011,80.1164
1.270903,2.50,0.500,0.799017,80.1223
1.279264,2.50,0.500,0.799024,80.1282
1.287625,2.50,0.500,0.799031,80.1342
1.295987,2.50,0.500,0.799037,80.1401
1.304348,2.50,0.500,0.799044,80.1460
1.312709,2.50,0.500,0.799051,80.1519
1.321070,2.50,0.500,0.799057,80.1579
1.329431,2.50,0.500,0.799064,80.1638
1.337793,2.50,0.500,0.799071,80.1697
1.346154,2.50,0.500,0.799077,80.1756
1.354515,2.50,0.500,0.799084,80.1816
1.362876,2.50,0.500,0.799091,80.1875
1.371237,2.50,0.500,0.799097,80.1934
1.379599,2.50,0.500,0.799104,80.1993
1.387960,2.50,0.500,0.799111,80.2053
1.396321,2.50,0.500,0.799118,80.2112
1.404682,2.50,0.500,0.799124,80.2171
1.413043,2.50,0.500,0.799131,80.2231
1.421405,2.50,0.500,0.799138,80.2290
1.429766,2.50,0.500,0.799144,80.2349
1.438127,2.50,0.500,0.799151,80.2409
1.446488,2.50,0.500,0.799158,80.2468
1.454849,2.50,0.500,0.799164,80.2527
1.463211,2.50,0.500,0.799171,80.2587
1.471572,2.50,0.500,0.799178,80.2646
1.479933,2.50,0.500,0.799184,80.2706
1.488294,2.50,0.500,0.799191,80.2765
1.496656,2.50,0.500,0.799198,80.2824
1.505017,2.50,0.500,0.799204,80.2884
1.513378,2.50,0.500,0.799211,80.2943
1.521739,2.50,0.500,0.799218,80.3003
1.530100,2.50,0.500,0.799224,80.3062
1.538462,2.50,0.500,0.799231,80.3121
1.546823,2.50,0.500,0.799238,80.3181
1.555184,2.50,0.500,0.799245,80.3240
1.563545,2.50,0.500,0.799251,80.3300
1.571906,2.50,0.500,0.799258,80.3359
1.580268,2.50,0.500,0.799265,80.3419
1.588629,2.50,0.500,0.799271,80.3478
1.596990,2.50,0.500,0.799278,80.3538
1.605351,2.50,0.500,0.799285,80.3597
1.613712,2.50,0.500,0.799291,80.3657
1.622074,2.50,0.500,0.799298,80.3716
1.630435,2.50,0.500,0.799305,80.3776
1.638796,2.50,0.500,0.799311,80.3835
1.647157,2.50,0.500,0.799318,80.3895
1.655518,2.50,0.500,0.799325,80.3954
1.663880,2.50,0.500,0.799331,80.4014
1.672241,2.50,0.500,0.799338,80.4073
1.680602,2.50,0.500,0.799345,80.4133
1.688963,2.50,0.500,0.799351,80.4192
1.697324,2.50,0.500,0.799358,80.4252
1.705686,2.50,0.500,0.799365,80.4311
1.714047,2.50,0.500,0.799371,80.4371
1.722408,2.50,0.500,0.799378,80.4430
1.730769,2.50,0.500,0.799385,80.4490
1.739130,2.50,0.500,0.799392,80.4550
1.747492,2.50,0.500,0.799398,80.4609
1.755853,2.50,0.500,0.799405,80.4669
1.764214,2.50,0.500,0.799412,80.4728
1.772575,2.50,0.500,0.799418,80.4788
1.780936,2.50,0.500,0.799425,80.4848
1.789298,2.50,0.500,0.799432,80.4907
1.797659,2.50,0.500,0.799438,80.4967
1.806020,2.50,0.500,0.799445,80.5027
1.814381,2.50,0.500,0.799452,80.5086
1.822742,2.50,0.500,0.799458,80.5146
1.831104,2.50,0.500,0.799465,80.5206
1.839465,2.50,0.500,0.799472,80.5265
1.847826,2.50,0.500,0.799478,80.5325
1.856187,2.50,0.500,0.799485,80.5385
1.864548,2.50,0.500,0.799492,80.5444
1.872910,2.50,0.500,0.799498,80.5504
1.881271,2.50,0.500,0.799505,80.5564
1.889632,2.50,0.500,0.799512,80.5623
1.897993,2.50,0.500,0.799519,80.5683
1.906355,2.50,0.500,0.799525,80.5743
1.914716,2.50,0.500,0.799532,80.5802
1.923077,2.50,0.500,0.799539,80.5862
1.931438,2.50,0.500,0.799545,80.5922
1.939799,2.50,0.500,0.799552,80.5982
1.948161,2.50,0.500,0.799559,80.6041
1.956522,2.50,0.500,0.799565,80.6101
1.964883,2.50,0.500,0.799572,80.6161
1.973244,2.50,0.500,0.799579,80.6221
1.981605,2.50,0.500,0.799585,80.6281
1.989967,2.50,0.500,0.799592,80.6340
1.998328,2.50,0.500,0.799599,80.6400
2.006689,2.50,0.500,0.799605,80.6460
2.015050,2.50,0.500,0.799612,80.6520
2.023411,2.50,0.500,0.799619,80.6580
2.031773,2.50,0.500,0.799626,80.6639
2.040134,2.50,0.500,0.799632,80.6699
2.048495,2.50,0.500,0.799639,80.6759
2.056856,2.50,0.500,0.799646,80.6819
2.065217,2.50,0.500,0.799652,80.6879
2.073579,2.50,0.500,0.799659,80.6939
2.081940,2.50,0.500,0.799666,80.6998
2.090301,2.50,0.500,0.799672,80.7058
2.098662,2.50,0.500,0.799679,80.7118
2.107023,2.50,0.500,0.799686,80.7178
2.115385,2.50,0.500,0.799692,80.7238
2.123746,2.50,0.500,0.799699,80.7298
2.132107,2.50,0.500,0.799706,80.7358
2.140468,2.50,0.500,0.799712,80.7418
2.148829,2.50,0.500,0.799719,80.7478
2.157191,2.50,0.500,0.799726,80.7537
2.165552,2.50,0.500,0.799732,80.7597
2.173913,2.50,0.500,0.799739,80.7657
2.182274,2.50,0.500,0.799746,80.7717
2.190635,2.50,0.500,0.799753,80.7777
2.198997,2.50,0.500,0.799759,80.7837
2.207358,2.50,0.500,0.799766,80.7897
2.215719,2.50,0.500,0.799773,80.7957
2.224080,2.50,0.500,0.799779,80.8017
2.232441,2.50,0.500,0.799786,80.8077
2.240803,2.50,0.500,0.799793,80.8137
2.249164,2.50,0.500,0.799799,80.8197
2.257525,2.50,0.500,0.799806,80.8257
2.265886,2.50,0.500,0.799813,80.8317
2.274247,2.50,0.500,0.799819,80.8377
2.282609,2.50,0.500,0.799826,80.8437
2.290970,2.50,0.500,0.799833,80.8497
2.299331,2.50,0.500,0.799839,80.8557
2.307692,2.50,0.500,0.799846,80.8617
2.316054,2.50,0.500,0.799853,80.8677
2.324415,2.50,0.500,0.799860,80.8737
2.332776,2.50,0.500,0.799866,80.8797
2.341137,2.50,0.500,0.799873,80.8857
2.349498,2.50,0.500,0.799880,80.8917
2.357860,2.50,0.500,0.799886,80.8978
2.366221,2.50,0.500,0.799893,80.9038
2.374582,2.50,0.500,0.799900,80.9098
2.382943,2.50,0.500,0.799906,80.9158
2.391304,2.50,0.500,0.799913,80.9218
2.399666,2.50,0.500,0.799920,80.9278
2.408027,2.50,0.500,0.799926,80.9338
2.416388,2.50,0.500,0.799933,80.9398
2.424749,2.50,0.500,0.799940,80.9458
2.433110,2.50,0.500,0.799946,80.9519
2.441472,2.50,0.500,0.799953,80.9579
2.449833,2.50,0.500,0.799960,80.9639
2.458194,2.50,0.500,0.799967,80.9699
2.466555,2.50,0.500,0.799973,80.9759
2.474916,2.50,0.500,0.799980,80.9819
2.483278,2.50,0.500,0.799987,80.9880
2.491639,2.50,0.500,0.799993,80.9940
2.500000,2.50,0.500,0.800000,81.0000
0.000000,2.50,2.000,0.792040,74.2566
0.008361,2.50,2.000,0.792066,74.2777
0.016722,2.50,2.000,0.792093,74.2989
0.025084,2.50,2.000,0.792119,74.3200
0.033445,2.50,2.000,0.792146,74.3411
0.041806,2.50,2.000,0.792172,74.3623
0.050167,2.50,2.000,0.792199,74.3835
0.058528,2.50,2.000,0.792225,74.4046
0.066890,2.50,2.000,0.792252,74.4258
0.075251,2.50,2.000,0.792278,74.4470
0.083612,2.50,2.000,0.792305,74.4682
0.091973,2.50,2.000,0.792331,74.4894
0.100334,2.50,2.000,0.792358,74.5106
0.108696,2.50,2.000,0.792384,74.5319
0.117057,2.50,2.000,0.792411,74.5531
0.125418,2.50,2.000,0.792437,74.5743
0.133779,2.50,2.000,0.792464,74.5956
0.142140,2.50,2.000,0.792490,74.6168
0.150502,2.50,2.000,0.792517,74.6381
0.158863,2.50,2.000,0.792543,74.6594
0.167224,2.50,2.000,0.792570,74.6807
0.175585,2.50,2.000,0.792596,74.7020
0.183946,2.50,2.000,0.792623,74.7233
0.192308,2.50,2.000,0.792649,74.7446
0.200669,2.50,2.000,0.792676,74.7660
0.209030,2.50,2.000,0.792702,74.7873
0.217391,2.50,2.000,0.792729,74.8086
0.225753,2.50,2.000,0.792755,74.8300
0.234114,2.50,2.000,0.792782,74.8514
0.242475,2.50,2.000,0.792808,74.8727
0.250836,2.50,2.000,0.792835,74.8941
0.259197,2.50,2.000,0.792861,74.9155
0.267559,2.50,2.000,0.792888,74.9369
0.275920,2.50,2.000,0.792915,74.9583
0.284281,2.50,2.000,0.792941,74.9797
0.292642,2.50,2.000,0.792968,75.0012
0.301003,2.50,2.000,0.792994,75.0226
0.309365,2.50,2.000,0.793021,75.0440
0.317726,2.50,2.000,0.793047,75.0655
0.326087,2.50,2.000,0.793074,75.0870
0.334448,2.50,2.000,0.793100,75.1084
0.342809,2.50,2.000,0.793127,75.1299
0.351171,2.50,2.000,0.793153,75.1514
0.359532,2.50,2.000,0.793180,75.1729
0.367893,2.50,2.000,0.793206,75.1944
0.376254,2.50,2.000,0.793233,75.2160
0.384615,2.50,2.000,0.793259,75.2375
0.392977,2.50,2.000,0.793286,75.2590
0.401338,2.50,2.000,0.793312,75.2806
0.409699,2.50,2.000,0.793339,75.3021
0.418060,2.50,2.000,0.793365,75.3237
0.426421,2.50,2.000,0.793392,75.3453
0.434783,2.50,2.000,0.793419,75.3669
0.443144,2.50,2.000,0.793445,75.3885
0.451505,2.50,2.000,0.793472,75.4101
0.459866,2.50,2.000,0.793498,75.4317
0.468227,2.50,2.000,0.793525,75.4533
0.476589,2.50,2.000,0.793551,75.4750
0.484950,2.50,2.000,0.793578,75.4966
0.493311,2.50,2.000,0.793604,75.5183
0.501672,2.50,2.000,0.793631,75.5399
0.510033,2.50,2.000,0.793657,75.5616
0.518395,2.50,2.000,0.793684,75.5833
0.526756,2.50,2.000,0.793710,75.6050
0.535117,2.50,2.000,0.793737,75.6267
0.543478,2.50,2.000,0.793764,75.6484
0.551839,2.50,2.000,0.793790,75.6701
0.560201,2.50,2.000,0.793817,75.6918
0.568562,2.50,2.000,0.793843,75.7136
0.576923,2.50,2.000,0.793870,75.7353
0.585284,2.50,2.000,0.793896,75.7571
0.593645,2.50,2.000,0.793923,75.7788
0.602007,2.50,2.000,0.793949,75.8006
0.610368,2.50,2.000,0.793976,75.8224
0.618729,2.50,2.000,0.794003,75.8442
0.627090,2.50,2.000,0.794029,75.8660
0.635452,2.50,2.000,0.794056,75.8878
0.643813,2.50,2.000,0.794082,75.9096
0.652174,2.50,2.000,0.794109,75.9315
0.660535,2.50,2.000,0.794135,75.9533
0.668896,2.50,2.000,0.794162,75.9752
0.677258,2.50,2.000,0.794188,75.9970
0.685619,2.50,2.000,0.794215,76.0189
0.693980,2.50,2.000,0.794242,76.0408
0.702341,2.50,2.000,0.794268,76.0627
0.710702,2.50,2.000,0.794295,76.0846
0.719064,2.50,2.000,0.794321,76.1065
0.727425,2.50,2.000,0.794348,76.1284
0.735786,2.50,2.000,0.794374,76.1503
0.744147,2.50,2.000,0.794401,76.1723
0.752508,2.50,2.000,0.794428,76.1942
0.760870,2.50,2.000,0.794454,76.2162
0.769231,2.50,2.000,0.794481,76.2381
0.777592,2.50,2.000,0.794507,76.2601
0.785953,2.50,2.000,0.794534,76.2821
0.794314,2.50,2.000,0.794560,76.3041
0.802676,2.50,2.000,0.794587,76.3261
0.811037,2.50,2.000,0.794614,76.3481
0.819398,2.50,2.000,0.794640,76.3701
0.827759,2.50,2.000,0.794667,76.3922
0.836120,2.50,2.000,0.794693,76.4142
0.844482,2.50,2.000,0.794720,76.4363
0.852843,2.50,2.000,0.794746,76.4583
0.861204,2.50,2.000,0.794773,76.4804
0.869565,2.50,2.000,0.794800,76.5025
0.877926,2.50,2.000,0.794826,76.5246
0.886288,2.50,2.000,0.794853,76.5467
0.894649,2.50,2.000,0.794879,76.5688
0.903010,2.50,2.000,0.794906,76.5909
0.911371,2.50,2.000,0.794933,76.6130
0.919732,2.50,2.000,0.794959,76.6352
0.928094,2.50,2.000,0.794986,76.6573
0.936455,2.50,2.000,0.795012,76.6795
0.944816,2.50,2.000,0.795039,76.7016
0.953177,2.50,2.000,0.795065,76.7238
0.961538,2.50,2.000,0.795092,76.7460
0.969900,2.50,2.000,0.795119,76.7682
0.978261,2.50,2.000,0.795145,76.7904
0.986622,2.50,2.000,0.795172,76.8126
0.994983,2.50,2.000,0.795198,76.8349
1.003344,2.50,2.000,0.795225,76.8571
1.011706,2.50,2.000,0.795252,76.8793
1.020067,2.50,2.000,0.795278,76.9016
1.028428,2.50,2.000,0.795305,76.9239
1.036789,2.50,2.000,0.795331,76.9461
1.045151,2.50,2.000,0.795358,76.9684
1.053512,2.50,2.000,0.795385,76.9907
1.061873,2.50,2.000,0.795411,77.0130
1.070234,2.50,2.000,0.795438,77.0353
1.078595,2.50,2.000,0.795464,77.0577
1.086957,2.50,2.000,0.795491,77.0800
1.095318,2.50,2.000,0.795518,77.1023
1.103679,2.50,2.000,0.795544,77.1247
1.112040,2.50,2.000,0.795571,77.1471
1.120401,2.50,2.000,0.795597,77.1694
1.128763,2.50,2.000,0.795624,77.1918
1.137124,2.50,2.000,0.795651,77.2142
1.145485,2.50,2.000,0.795677,77.2366
1.153846,2.50,2.000,0.795704,77.2590
1.162207,2.50,2.000,0.795730,77.2814
1.170569,2.50,2.000,0.795757,77.3039
1.178930,2.50,2.000,0.795784,77.3263
1.187291,2.50,2.000,0.795810,77.3488
1.195652,2.50,2.000,0.795837,77.3712
1.204013,2.50,2.000,0.795864,77.3937
1.212375,2.50,2.000,0.795890,77.4162
1.220736,2.50,2.000,0.795917,77.4387
1.229097,2.50,2.000,0.795943,77.4612
1.237458,2.50,2.000,0.795970,77.4837
1.245819,2.50,2.000,0.795997,77.5062
1.254181,2.50,2.000,0.796023,77.5288
1.262542,2.50,2.000,0.796050,77.5513
1.270903,2.50,2.000,0.796077,77.5738
1.279264,2.50,2.000,0.796103,77.5964
1.287625,2.50,2.000,0.796130,77.6190
1.295987,2.50,2.000,0.796156,77.6416
1.304348,2.50,2.000,0.796183,77.6641
1.312709,2.50,2.000,0.796210,77.6867
1.321070,2.50,2.000,0.796236,77.7094
1.329431,2.50,2.000,0.796263,77.7320
1.337793,2.50,2.000,0.796290,77.7546
1.346154,2.50,2.000,0.796316,77.7773
1.354515,2.50,2.000,0.796343,77.7999
1.362876,2.50,2.000,0.796369,77.8226
1.371237,2.50,2.000,0.796396,77.8452
1.379599,2.50,2.000,0.796423,77.8679
1.387960,2.50,2.000,0.796449,77.8906
1.396321,2.50,2.000,0.796476,77.9133
1.404682,2.50,2.000,0.796503,77.9360
1.413043,2.50,2.000,0.796529,77.9587
1.421405,2.50,2.000,0.796556,77.9815
1.429766,2.50,2.000,0.796583,78.0042
1.438127,2.50,2.000,0.796609,78.0270
1.446488,2.50,2.000,0.796636,78.0497
1.454849,2.50,2.000,0.796662,78.0725
1.463211,2.50,2.000,0.796689,78.0953
1.471572,2.50,2.000,0.796716,78.1181
1.479933,2.50,2.000,0.796742,78.1409
1.488294,2.50,2.000,0.796769,78.1637
1.496656,2.50,2.000,0.796796,78.1865
1.505017,2.50,2.000,0.796822,78.2093
1.513378,2.50,2.000,0.796849,78.2322
1.521739,2.50,2.000,0.796876,78.2550
1.530100,2.50,2.000,0.796902,78.2779
1.538462,2.50,2.000,0.796929,78.3008
1.546823,2.50,2.000,0.796956,78.3236
1.555184,2.50,2.000,0.796982,78.3465
1.563545,2.50,2.000,0.797009,78.3694
1.571906,2.50,2.000,0.797036,78.3923
1.580268,2.50,2.000,0.797062,78.4153
1.588629,2.50,2.000,0.797089,78.4382
1.596990,2.50,2.000,0.797116,78.4611
1.605351,2.50,2.000,0.797142,78.4841
1.613712,2.50,2.000,0.797169,78.5071
1.622074,2.50,2.000,0.797196,78.5300
1.630435,2.50,2.000,0.797222,78.5530
1.638796,2.50,2.000,0.797249,78.5760
1.647157,2.50,2.000,0.797276,78.5990
1.655518,2.50,2.000,0.797302,78.6220
1.663880,2.50,2.000,0.797329,78.6450
1.672241,2.50,2.000,0.797356,78.6681
1.680602,2.50,2.000,0.797382,78.6911
1.688963,2.50,2.000,0.797409,78.7142
1.697324,2.50,2.000,0.797436,78.7372
1.705686,2.50,2.000,0.797462,78.7603
1.714047,2.50,2.000,0.797489,78.7834
1.722408,2.50,2.000,0.797516,78.8065
1.730769,2.50,2.000,0.797542,78.8296
1.739130,2.50,2.000,0.797569,78.8527
1.747492,2.50,2.000,0.797596,78.8759
1.755853,2.50,2.000,0.797622,78.8990
1.764214,2.50,2.000,0.797649,78.9221
1.772575,2.50,2.000,0.797676,78.9453
1.780936,2.50,2.000,0.797702,78.9685
1.789298,2.50,2.000,0.797729,78.9916
1.797659,2.50,2.000,0.797756,79.0148
1.806020,2.50,2.000,0.797782,79.0380
1.814381,2.50,2.000,0.797809,79.0612
1.822742,2.50,2.000,0.797836,79.0845
1.831104,2.50,2.000,0.797862,79.1077
1.839465,2.50,2.000,0.797889,79.1309
1.847826,2.50,2.000,0.797916,79.1542
1.856187,2.50,2.000,0.797942,79.1774
1.864548,2.50,2.000,0.797969,79.2007
1.872910,2.50,2.000,0.797996,79.2240
1.881271,2.50,2.000,0.798023,79.2473
1.889632,2.50,2.000,0.798049,79.2706
1.897993,2.50,2.000,0.798076,79.2939
1.906355,2.50,2.000,0.798103,79.3172
1.914716,2.50,2.000,0.798129,79.3405
1.923077,2.50,2.000,0.798156,79.3639
1.931438,2.50,2.000,0.798183,79.3872
1.939799,2.50,2.000,0.798209,79.4106
1.948161,2.50,2.000,0.798236,79.4340
1.956522,2.50,2.000,0.798263,79.4574
1.964883,2.50,2.000,0.798289,79.4808
1.973244,2.50,2.000,0.798316,79.5042
1.981605,2.50,2.000,0.798343,79.5276
1.989967,2.50,2.000,0.798370,79.5510
1.998328,2.50,2.000,0.798396,79.5744
2.006689,2.50,2.000,0.798423,79.5979
2.015050,2.50,2.000,0.798450,79.6213
2.023411,2.50,2.000,0.798476,79.6448
2.031773,2.50,2.000,0.798503,79.6683
2.040134,2.50,2.000,0.798530,79.6918
2.048495,2.50,2.000,0.798556,79.7153
2.056856,2.50,2.000,0.798583,79.7388
2.065217,2.50,2.000,0.798610,79.7623
2.073579,2.50,2.000,0.798637,79.7858
2.081940,2.50,2.000,0.798663,79.8094
2.090301,2.50,2.000,0.798690,79.8329
2.098662,2.50,2.000,0.798717,79.8565
2.107023,2.50,2.000,0.798743,79.8801
2.115385,2.50,2.000,0.798770,79.9037
2.123746,2.50,2.000,0.798797,79.9273
2.132107,2.50,2.000,0.798824,79.9509
2.140468,2.50,2.000,0.798850,79.9745
2.148829,2.50,2.000,0.798877,79.9981
2.157191,2.50,2.000,0.798904,80.0217
2.165552,2.50,2.000,0.798930,80.0454
2.173913,2.50,2.000,0.798957,80.0690
2.182274,2.50,2.000,0.798984,80.0927
2.190635,2.50,2.000,0.799011,80.1164
2.198997,2.50,2.000,0.799037,80.1401
2.207358,2.50,2.000,0.799064,80.1638
2.215719,2.50,2.000,0.799091,80.1875
2.224080,2.50,2.000,0.799118,80.2112
2.232441,2.50,2.000,0.799144,80.2349
2.240803,2.50,2.000,0.799171,80.2587
2.249164,2.50,2.000,0.799198,80.2824
2.257525,2.50,2.000,0.799224,80.3062
2.265886,2.50,2.000,0.799251,80.3300
2.274247,2.50,2.000,0.799278,80.3538
2.282609,2.50,2.000,0.799305,80.3776
2.290970,2.50,2.000,0.799331,80.4014
2.299331,2.50,2.000,0.799358,80.4252
2.307692,2.50,2.000,0.799385,80.4490
2.316054,2.50,2.000,0.799412,80.4728
2.324415,2.50,2.000,0.799438,80.4967
2.332776,2.50,2.000,0.799465,80.5206
2.341137,2.50,2.000,0.799492,80.5444
2.349498,2.50,2.000,0.799519,80.5683
2.357860,2.50,2.000,0.799545,80.5922
2.366221,2.50,2.000,0.799572,80.6161
2.374582,2.50,2.000,0.799599,80.6400
2.382943,2.50,2.000,0.799626,80.6639
2.391304,2.50,2.000,0.799652,80.6879
2.399666,2.50,2.000,0.799679,80.7118
2.408027,2.50,2.000,0.799706,80.7358
2.416388,2.50,2.000,0.799732,80.7597
2.424749,2.50,2.000,0.799759,80.7837
2.433110,2.50,2.000,0.799786,80.8077
2.441472,2.50,2.000,0.799813,80.8317
2.449833,2.50,2.000,0.799839,80.8557
2.458194,2.50,2.000,0.799866,80.8797
2.466555,2.50,2.000,0.799893,80.9038
2.474916,2.50,2.000,0.799920,80.9278
2.483278,2.50,2.000,0.799946,80.9519
2.491639,2.50,2.000,0.799973,80.9759
2.500000,2.50,2.000,0.800000,81.0000
0.000000,5.00,0.010,0.799920,80.9280
0.016722,5.00,0.010,0.799920,80.9283
0.033445,5.00,0.010,0.799921,80.9285
0.050167,5.00,0.010,0.799921,80.9288
0.066890,5.00,0.010,0.799921,80.9290
0.083612,5.00,0.010,0.799921,80.9293
0.100334,5.00,0.010,0.799922,80.9295
0.117057,5.00,0.010,0.799922,80.9297
0.133779,5.00,0.010,0.799922,80.9300
0.150502,5.00,0.010,0.799922,80.9302
0.167224,5.00,0.010,0.799923,80.9305
0.183946,5.00,0.010,0.799923,80.9307
0.200669,5.00,0.010,0.799923,80.9309
0.217391,5.00,0.010,0.799923,80.9312
0.234114,5.00,0.010,0.799924,80.9314
0.250836,5.00,0.010,0.799924,80.9317
0.267559,5.00,0.010,0.799924,80.9319
0.284281,5.00,0.010,0.799925,80.9321
0.301003,5.00,0.010,0.799925,80.9324
0.317726,5.00,0.010,0.799925,80.9326
0.334448,5.00,0.010,0.799925,80.9329
0.351171,5.00,0.010,0.799926,80.9331
0.367893,5.00,0.010,0.799926,80.9333
0.384615,5.00,0.010,0.799926,80.9336
0.401338,5.00,0.010,0.799926,80.9338
0.418060,5.00,0.010,0.799927,80.9341
0.434783,5.00,0.010,0.799927,80.9343
0.451505,5.00,0.010,0.799927,80.9345
0.468227,5.00,0.010,0.799927,80.9348
0.484950,5.00,0.010,0.799928,80.9350
0.501672,5.00,0.010,0.799928,80.9353
0.518395,5.00,0.010,0.799928,80.9355
0.535117,5.00,0.010,0.799929,80.9357
0.551839,5.00,0.010,0.799929,80.9360
0.568562,5.00,0.010,0.799929,80.9362
0.585284,5.00,0.010,0.799929,80.9365
0.602007,5.00,0.010,0.799930,80.9367
0.618729,5.00,0.010,0.799930,80.9369
0.635452,5.00,0.010,0.799930,80.9372
0.652174,5.00,0.010,0.799930,80.9374
0.668896,5.00,0.010,0.799931,80.9377
0.685619,5.00,0.010,0.799931,80.9379
0.702341,5.00,0.010,0.799931,80.9381
0.719064,5.00,0.010,0.799932,80.9384
0.735786,5.00,0.010,0.799932,80.9386
0.752508,5.00,0.010,0.799932,80.9389
0.769231,5.00,0.010,0.799932,80.9391
0.785953,5.00,0.010,0.799933,80.9394
0.802676,5.00,0.010,0.799933,80.9396
0.819398,5.00,0.010,0.799933,80.9398
0.836120,5.00,0.010,0.799933,80.9401
0.852843,5.00,0.010,0.799934,80.9403
0.869565,5.00,0.010,0.799934,80.9406
0.886288,5.00,0.010,0.799934,80.9408
0.903010,5.00,0.010,0.799934,80.9410
0.919732,5.00,0.010,0.799935,80.9413
0.936455,5.00,0.010,0.799935,80.9415
0.953177,5.00,0.010,0.799935,80.9418
0.969900,5.00,0.010,0.799936,80.9420
0.986622,5.00,0.010,0.799936,80.9422
1.003344,5.00,0.010,0.799936,80.9425
1.020067,5.00,0.010,0.799936,80.9427
1.036789,5.00,0.010,0.799937,80.9430
1.053512,5.00,0.010,0.799937,80.9432
1.070234,5.00,0.010,0.799937,80.9434
1.086957,5.00,0.010,0.799937,80.9437
1.103679,5.00,0.010,0.799938,80.9439
1.120401,5.00,0.010,0.799938,80.9442
1.137124,5.00,0.010,0.799938,80.9444
1.153846,5.00,0.010,0.799938,80.9446
1.170569,5.00,0.010,0.799939,80.9449
1.187291,5.00,0.010,0.799939,80.9451
1.204013,5.00,0.010,0.799939,80.9454
1.220736,5.00,0.010,0.799940,80.9456
1.237458,5.00,0.010,0.799940,80.9458
