d_over_lambda,d_um,Zin_real_MRayl,Zin_imag_MRayl,Zin_mag_MRayl,T_power,T_dB
1.487744,111.5808,9.022201,5.604663,10.621317,0.69042754,-1.6088
1.489745,111.7309,9.856481,5.129359,11.111280,0.72624239,-1.3892
1.491746,111.8809,10.668493,4.473005,11.568255,0.75863436,-1.1997
1.493747,112.0310,11.405607,3.625558,11.967980,0.78614064,-1.0450
1.495748,112.1811,12.006734,2.596777,12.284336,0.80735220,-0.9294
1.497749,112.3312,12.411880,1.421678,12.493035,0.82107299,-0.8562
1.499750,112.4812,12.575130,0.160134,12.576150,0.82647684,-0.8277
1.501751,112.6313,12.476692,-1.111441,12.526099,0.82322681,-0.8448
1.503752,112.7814,12.128591,-2.314627,12.347478,0.81152633,-0.9070
1.505753,112.9315,11.571173,-3.384327,12.055941,0.79208816,-1.0123
1.507754,113.0815,10.862186,-4.278971,11.674617,0.76602971,-1.1575
1.509755,113.2316,10.063526,-4.982828,11.229565,0.73472214,-1.3388
1.511756,113.3817,9.230559,-5.501680,10.745776,0.69962867,-1.5513
1.513757,113.5318,8.406330,-5.855375,10.244599,0.66216312,-1.7904
1.515758,113.6818,7.620292,-6.070461,9.742656,0.62358743,-2.0510
1.517759,113.8319,6.889909,-6.174657,9.251877,0.58495336,-2.3288
1.519760,113.9820,6.223438,-6.193518,8.780139,0.54708311,-2.6195
1.521761,114.1321,5.622778,-6.148886,8.332132,0.51057840,-2.9194
1.523762,114.2821,5.085840,-6.058510,7.910204,0.47584672,-3.2253
1.525763,114.4322,4.608296,-5.936318,7.515069,0.44313525,-3.5346
1.527764,114.5823,4.184766,-5.792957,7.146371,0.41256576,-3.8451
1.529765,114.7324,3.809574,-5.636405,6.803081,0.38416662,-4.1548
1.531766,114.8824,3.477187,-5.472543,6.483792,0.35789986,-4.4624
1.533767,115.0325,3.182455,-5.305636,6.186905,0.33368296,-4.7667
1.535768,115.1826,2.920716,-5.138731,5.910765,0.31140561,-5.0667
1.537769,115.3327,2.687825,-4.973960,5.653732,0.29094211,-5.3619
1.539770,115.4827,2.480143,-4.812781,5.414238,0.27216025,-5.6518
1.541771,115.6328,2.294495,-4.656154,5.190807,0.25492751,-5.9358
1.543772,115.7829,2.128126,-4.504679,4.982074,0.23911509,-6.2139
1.545773,115.9330,1.978651,-4.358693,4.786780,0.22460048,-6.4859
1.547774,116.0830,1.844009,-4.218342,4.603779,0.21126891,-6.7516
