d_mm,d_over_lambda,T_power,T_power_dB,amplitude_factor,alpha_Npm,loss_per_wall_dB
11.7752,8.476965,3.00266423,4.7751,1.732820,42.6836,-4.3656
11.8050,8.498461,3.03379612,4.8199,1.741780,42.6836,-4.3767
11.8349,8.519957,3.02596922,4.8086,1.739531,42.6836,-4.3877
11.8647,8.541453,2.98095828,4.7436,1.726545,42.6836,-4.3988
11.8946,8.562949,2.90564793,4.6324,1.704596,42.6836,-4.4099
11.9244,8.584445,2.81012811,4.4873,1.676344,42.6836,-4.4209
11.9543,8.605942,2.70534346,4.3222,1.644793,42.6836,-4.4320
11.9842,8.627438,2.60120638,4.1517,1.612826,42.6836,-4.4431
12.0140,8.648934,2.50559412,3.9891,1.582907,42.6836,-4.4541
12.0439,8.670430,2.42415515,3.8456,1.556970,42.6836,-4.4652
12.0737,8.691926,2.36061355,3.7302,1.536429,42.6836,-4.4763
12.1036,8.713422,2.31726265,3.6498,1.522256,42.6836,-4.4874
12.1335,8.734918,2.29544313,3.6087,1.515072,42.6836,-4.4984
12.1633,8.756414,2.29590391,3.6095,1.515224,42.6836,-4.5095
12.1932,8.777910,2.31900845,3.6530,1.522829,42.6836,-4.5206
12.2230,8.799406,2.36477523,3.7379,1.537783,42.6836,-4.5316
12.2529,8.820903,2.43274566,3.8610,1.559726,42.6836,-4.5427
12.2828,8.842399,2.52167175,4.0169,1.587977,42.6836,-4.5538
12.3126,8.863895,2.62902799,4.1980,1.621428,42.6836,-4.5648
12.3425,8.885391,2.75039758,4.3940,1.658432,42.6836,-4.5759
12.3723,8.906887,2.87888205,4.5922,1.696727,42.6836,-4.5870
12.4022,8.928383,3.00482864,4.7782,1.733444,42.6836,-4.5981
12.4321,8.949879,3.11629294,4.9364,1.765303,42.6836,-4.6091
12.4619,8.971375,3.20059106,5.0523,1.789020,42.6836,-4.6202
12.4918,8.992871,3.24687885,5.1147,1.801910,42.6836,-4.6313
12.5216,9.014367,3.24899443,5.1175,1.802497,42.6836,-4.6423
12.5515,9.035864,3.20730362,5.0614,1.790895,42.6836,-4.6534
12.5814,9.057360,3.12858029,4.9535,1.768779,42.6836,-4.6645
12.6112,9.078856,3.02399553,4.8058,1.738964,42.6836,-4.6756
12.6411,9.100352,2.90626791,4.6334,1.704778,42.6836,-4.6866
12.6709,9.121848,2.78720102,4.4517,1.669491,42.6836,-4.6977
12.7008,9.143344,2.67627826,4.2753,1.635933,42.6836,-4.7088
12.7307,9.164840,2.58030782,4.1167,1.606334,42.6836,-4.7198
12.7605,9.186336,2.50374538,3.9859,1.582323,42.6836,-4.7309
12.7904,9.207832,2.44929237,3.8904,1.565022,42.6836,-4.7420
12.8202,9.229328,2.41849643,3.8355,1.555152,42.6836,-4.7530
12.8501,9.250825,2.41221922,3.8242,1.553132,42.6836,-4.7641
12.8800,9.272321,2.43092437,3.8577,1.559142,42.6836,-4.7752
12.9098,9.293817,2.47477583,3.9354,1.573142,42.6836,-4.7863
12.9397,9.315313,2.54354145,4.0544,1.594848,42.6836,-4.7973
12.9695,9.336809,2.63629040,4.2099,1.623666,42.6836,-4.8084
12.9994,9.358305,2.75087524,4.3947,1.658576,42.6836,-4.8195
13.0293,9.379801,2.88322534,4.5988,1.698006,42.6836,-4.8305
13.0591,9.401297,3.02657412,4.8095,1.739705,42.6836,-4.8416
13.0890,9.422793,3.17091250,5.0118,1.780706,42.6836,-4.8527
13.1188,9.444289,3.30315196,5.1893,1.817458,42.6836,-4.8637
13.1487,9.465786,3.40852146,5.3257,1.846218,42.6836,-4.8748
13.1786,9.487282,3.47335954,5.4075,1.863695,42.6836,-4.8859
13.2084,9.508778,3.48863217,5.4266,1.867788,42.6836,-4.8970
13.2383,9.530274,3.45268592,5.3816,1.858140,42.6836,-4.9080
13.2681,9.551770,3.37177908,5.2786,1.836240,42.6836,-4.9191
13.2980,9.573266,3.25809454,5.1296,1.805019,42.6836,-4.9302
13.3279,9.594762,3.12634669,4.9504,1.768148,42.6836,-4.9412
13.3577,9.616258,2.99059315,4.7576,1.729333,42.6836,-4.9523
13.3876,9.637754,2.86228139,4.5671,1.691828,42.6836,-4.9634
13.4174,9.659250,2.74965109,4.3928,1.658207,42.6836,-4.9745
13.4473,9.680747,2.65805723,4.2456,1.630355,42.6836,-4.9855
13.4772,9.702243,2.59069083,4.1342,1.609562,42.6836,-4.9966
13.5070,9.723739,2.54933017,4.0643,1.596662,42.6836,-5.0077
13.5369,9.745235,2.53494103,4.0397,1.592150,42.6836,-5.0187
13.5667,9.766731,2.54806590,4.0621,1.596266,42.6836,-5.0298
13.5966,9.788227,2.58899450,4.1313,1.609035,42.6836,-5.0409
13.6265,9.809723,2.65771536,4.2451,1.630250,42.6836,-5.0519
13.6563,9.831219,2.75363610,4.3991,1.659408,42.6836,-5.0630
13.6862,9.852715,2.87505122,4.5865,1.695598,42.6836,-5.0741
13.7160,9.874211,3.01835769,4.7977,1.737342,42.6836,-5.0852
13.7459,9.895708,3.17710498,5.0203,1.782444,42.6836,-5.0962
13.7758,9.917204,3.34114854,5.2390,1.827881,42.6836,-5.1073
13.8056,9.938700,3.49643225,5.4363,1.869875,42.6836,-5.1184
13.8355,9.960196,3.62609349,5.5944,1.904230,42.6836,-5.1294
13.8653,9.981692,3.71333739,5.6976,1.927002,42.6836,-5.1405
13.8952,10.003188,3.74562388,5.7352,1.935361,42.6836,-5.1516
13.9251,10.024684,3.71852273,5.7037,1.928347,42.6836,-5.1626
13.9549,10.046180,3.63720254,5.6077,1.907145,42.6836,-5.1737
13.9848,10.067676,3.51468080,5.4589,1.874748,42.6836,-5.1848
14.0146,10.089172,3.36787784,5.2736,1.835178,42.6836,-5.1959
14.0445,10.110669,3.21352806,5.0698,1.792632,42.6836,-5.2069
14.0743,10.132165,3.06548460,4.8650,1.750853,42.6836,-5.2180
14.1042,10.153661,2.93376235,4.6742,1.712823,42.6836,-5.2291
14.1341,10.175157,2.82483025,4.5099,1.680723,42.6836,-5.2401
14.1639,10.196653,2.74247389,4.3814,1.656042,42.6836,-5.2512
14.1938,10.218149,2.68873284,4.2955,1.639736,42.6836,-5.2623
14.2236,10.239645,2.66466587,4.2564,1.632380,42.6836,-5.2734
14.2535,10.261141,2.67086535,4.2665,1.634278,42.6836,-5.2844
14.2834,10.282637,2.70771688,4.3260,1.645514,42.6836,-5.2955
14.3132,10.304133,2.77541238,4.4333,1.665957,42.6836,-5.3066
14.3431,10.325630,2.87370722,4.5844,1.695201,42.6836,-5.3176
14.3729,10.347126,3.00139105,4.7732,1.732452,42.6836,-5.3287
14.4028,10.368622,3.15544596,4.9906,1.776357,42.6836,-5.3398
14.4327,10.390118,3.32993391,5.2244,1.824811,42.6836,-5.3508
14.4625,10.411614,3.51483776,5.4591,1.874790,42.6836,-5.3619
14.4924,10.433110,3.69539037,5.6766,1.922340,42.6836,-5.3730
14.5222,10.454606,3.85273506,5.8577,1.962839,42.6836,-5.3841
14.5521,10.476102,3.96669721,5.9843,1.991657,42.6836,-5.3951
14.5820,10.497598,4.02056451,6.0429,2.005135,42.6836,-5.4062
14.6118,10.519094,4.00621554,6.0273,2.001553,42.6836,-5.4173
14.6417,10.540591,3.92694211,5.9405,1.981651,42.6836,-5.4283
14.6715,10.562087,3.79626147,5.7936,1.948400,42.6836,-5.4394
14.7014,10.583583,3.63347187,5.6032,1.906167,42.6836,-5.4505
14.7313,10.605079,3.45846932,5.3888,1.859696,42.6836,-5.4615
14.7611,10.626575,3.28805641,5.1694,1.813300,42.6836,-5.4726
14.7910,10.648071,3.13445908,4.9616,1.770440,42.6836,-5.4837
14.8208,10.669567,3.00553622,4.7792,1.733648,42.6836,-5.4948
14.8507,10.691063,2.90580404,4.6327,1.704642,42.6836,-5.5058
14.8806,10.712559,2.83760395,4.5295,1.684519,42.6836,-5.5169
14.9104,10.734055,2.80207404,4.4748,1.673940,42.6836,-5.5280
14.9403,10.755551,2.79981885,4.4713,1.673266,42.6836,-5.5390
14.9701,10.777048,2.83127830,4.5198,1.682640,42.6836,-5.5501
15.0000,10.798544,2.89681707,4.6192,1.702004,42.6836,-5.5612
