d_mm,d_over_lambda,T_power,T_power_dB,amplitude_factor,alpha_Npm,loss_per_wall_dB
3.5040,2.522546,1.37156810,1.3722,1.171140,42.6836,-1.2991
3.5339,2.544042,1.36325683,1.3458,1.167586,42.6836,-1.3102
3.5637,2.565538,1.34840164,1.2982,1.161207,42.6836,-1.3212
3.5936,2.587034,1.32871650,1.2343,1.152700,42.6836,-1.3323
3.6234,2.608530,1.30623623,1.1602,1.142907,42.6836,-1.3434
3.6533,2.630026,1.28305008,1.0824,1.132718,42.6836,-1.3544
3.6832,2.651522,1.26109299,1.0075,1.122984,42.6836,-1.3655
3.7130,2.673018,1.24201743,0.9413,1.114458,42.6836,-1.3766
3.7429,2.694514,1.22713945,0.8889,1.107763,42.6836,-1.3877
3.7727,2.716010,1.21743698,0.8545,1.103375,42.6836,-1.3987
3.8026,2.737507,1.21357417,0.8407,1.101623,42.6836,-1.4098
3.8325,2.759003,1.21592987,0.8491,1.102692,42.6836,-1.4209
3.8623,2.780499,1.22461480,0.8800,1.106623,42.6836,-1.4319
3.8922,2.801995,1.23946919,0.9324,1.113315,42.6836,-1.4430
3.9220,2.823491,1.26003878,1.0038,1.122514,42.6836,-1.4541
3.9519,2.844987,1.28553417,1.0908,1.133814,42.6836,-1.4651
3.9818,2.866483,1.31478589,1.1886,1.146641,42.6836,-1.4762
4.0116,2.887979,1.34621679,1.2912,1.160266,42.6836,-1.4873
4.0415,2.909475,1.37786083,1.3921,1.173823,42.6836,-1.4984
4.0713,2.930971,1.40746001,1.4844,1.186364,42.6836,-1.5094
4.1012,2.952468,1.43265983,1.5614,1.196938,42.6836,-1.5205
4.1311,2.973964,1.45129620,1.6176,1.204698,42.6836,-1.5316
4.1609,2.995460,1.46172580,1.6487,1.209019,42.6836,-1.5426
4.1908,3.016956,1.46311617,1.6528,1.209593,42.6836,-1.5537
4.2206,3.038452,1.45560557,1.6304,1.206485,42.6836,-1.5648
4.2505,3.059948,1.44027805,1.5845,1.200116,42.6836,-1.5759
4.2804,3.081444,1.41896366,1.5197,1.191203,42.6836,-1.5869
4.3102,3.102940,1.39393200,1.4424,1.180649,42.6836,-1.5980
4.3401,3.124436,1.36757102,1.3595,1.169432,42.6836,-1.6091
4.3699,3.145932,1.34212555,1.2779,1.158501,42.6836,-1.6201
4.3998,3.167429,1.31953109,1.2042,1.148708,42.6836,-1.6312
4.4297,3.188925,1.30134048,1.1439,1.140763,42.6836,-1.6423
4.4595,3.210421,1.28871825,1.1016,1.135217,42.6836,-1.6533
4.4894,3.231917,1.28247111,1.0805,1.132462,42.6836,-1.6644
4.5192,3.253413,1.28308670,1.0826,1.132734,42.6836,-1.6755
4.5491,3.274909,1.29076115,1.1085,1.136117,42.6836,-1.6866
4.5790,3.296405,1.30540384,1.1574,1.142543,42.6836,-1.6976
4.6088,3.317901,1.32661545,1.2275,1.151788,42.6836,-1.7087
4.6387,3.339397,1.35364246,1.3150,1.163461,42.6836,-1.7198
4.6685,3.360893,1.38531953,1.4155,1.176996,42.6836,-1.7308
4.6984,3.382390,1.42002155,1.5229,1.191647,42.6836,-1.7419
4.7283,3.403886,1.45565788,1.6306,1.206506,42.6836,-1.7530
4.7581,3.425382,1.48974743,1.7311,1.220552,42.6836,-1.7640
4.7880,3.446878,1.51960705,1.8173,1.232723,42.6836,-1.7751
4.8178,3.468374,1.54265827,1.8827,1.242038,42.6836,-1.7862
4.8477,3.489870,1.55681075,1.9224,1.247722,42.6836,-1.7973
4.8776,3.511366,1.56083097,1.9336,1.249332,42.6836,-1.8083
4.9074,3.532862,1.55458287,1.9161,1.246829,42.6836,-1.8194
