L_mm,r_mag,S_mid,contrast_mid,contrast_dB
0.5000,0.0500,0.049998,1.2216,0.87
0.5000,0.0595,0.059492,1.2690,1.03
0.5000,0.0690,0.068986,1.3184,1.20
0.5000,0.0785,0.078481,1.3697,1.37
0.5000,0.0880,0.087975,1.4231,1.53
0.5000,0.0975,0.097470,1.4786,1.70
0.5000,0.1070,0.106964,1.5365,1.87
0.5000,0.1165,0.116459,1.5967,2.03
0.5000,0.1260,0.125953,1.6595,2.20
0.5000,0.1355,0.135448,1.7249,2.37
0.5000,0.1449,0.144942,1.7930,2.54
0.5000,0.1544,0.154437,1.8640,2.70
0.5000,0.1639,0.163931,1.9381,2.87
0.5000,0.1734,0.173426,2.0153,3.04
0.5000,0.1829,0.182920,2.0960,3.21
0.5000,0.1924,0.192415,2.1801,3.38
0.5000,0.2019,0.201909,2.2680,3.56
0.5000,0.2114,0.211404,2.3598,3.73
0.5000,0.2209,0.220898,2.4557,3.90
0.5000,0.2304,0.230393,2.5559,4.08
0.5000,0.2399,0.239887,2.6608,4.25
0.5000,0.2494,0.249381,2.7705,4.43
0.5000,0.2589,0.258876,2.8853,4.60
0.5000,0.2684,0.268370,3.0055,4.78
0.5000,0.2779,0.277865,3.1314,4.96
0.5000,0.2874,0.287359,3.2633,5.14
0.5000,0.2969,0.296854,3.4017,5.32
0.5000,0.3064,0.306348,3.5468,5.50
0.5000,0.3159,0.315843,3.6991,5.68
0.5000,0.3254,0.325337,3.8590,5.86
0.5000,0.3348,0.334832,4.0271,6.05
0.5000,0.3443,0.344326,4.2037,6.24
0.5000,0.3538,0.353821,4.3895,6.42
0.5000,0.3633,0.363315,4.5850,6.61
0.5000,0.3728,0.372810,4.7910,6.80
0.5000,0.3823,0.382304,5.0079,7.00
0.5000,0.3918,0.391799,5.2367,7.19
0.5000,0.4013,0.401293,5.4781,7.39
0.5000,0.4108,0.410788,5.7330,7.58
0.5000,0.4203,0.420282,6.0023,7.78
0.5000,0.4298,0.429776,6.2870,7.98
0.5000,0.4393,0.439271,6.5884,8.19
0.5000,0.4488,0.448765,6.9075,8.39
0.5000,0.4583,0.458260,7.2458,8.60
0.5000,0.4678,0.467754,7.6047,8.81
0.5000,0.4773,0.477249,7.9858,9.02
0.5000,0.4868,0.486743,8.3908,9.24
0.5000,0.4963,0.496238,8.8217,9.46
0.5000,0.5058,0.505732,9.2805,9.68
0.5000,0.5153,0.515227,9.7696,9.90
0.5000,0.5247,0.524721,10.2916,10.12
0.5000,0.5342,0.534216,10.8493,10.35
0.5000,0.5437,0.543710,11.4459,10.59
0.5000,0.5532,0.553205,12.0848,10.82
0.5000,0.5627,0.562699,12.7700,11.06
0.5000,0.5722,0.572194,13.5057,11.31
0.5000,0.5817,0.581688,14.2969,11.55
0.5000,0.5912,0.591183,15.1489,11.80
0.5000,0.6007,0.600677,16.0679,12.06
0.5000,0.6102,0.610172,17.0607,12.32
0.5000,0.6197,0.619666,18.1351,12.59
0.5000,0.6292,0.629160,19.2999,12.86
0.5000,0.6387,0.638655,20.5651,13.13
0.5000,0.6482,0.648149,21.9420,13.41
0.5000,0.6577,0.657644,23.4437,13.70
0.5000,0.6672,0.667138,25.0851,13.99
0.5000,0.6767,0.676633,26.8834,14.29
0.5000,0.6862,0.686127,28.8585,14.60
0.5000,0.6957,0.695622,31.0335,14.92
0.5000,0.7052,0.705116,33.4354,15.24
0.5000,0.7146,0.714611,36.0957,15.57
0.5000,0.7241,0.724105,39.0518,15.92
0.5000,0.7336,0.733600,42.3475,16.27
0.5000,0.7431,0.743094,46.0356,16.63
0.5000,0.7526,0.752589,50.1788,17.01
0.5000,0.7621,0.762083,54.8532,17.39
0.5000,0.7716,0.771578,60.1510,17.79
0.5000,0.7811,0.781072,66.1852,18.21
0.5000,0.7906,0.790567,73.0952,18.64
0.5000,0.8001,0.800061,81.0549,19.09
0.5000,0.8096,0.809555,90.2832,19.56
0.5000,0.8191,0.819050,101.0583,20.05
0.5000,0.8286,0.828544,113.7386,20.56
0.5000,0.8381,0.838039,128.7917,21.10
0.5000,0.8476,0.847533,146.8368,21.67
0.5000,0.8571,0.857028,168.7073,22.27
0.5000,0.8666,0.866522,195.5461,22.91
0.5000,0.8761,0.876017,228.9538,23.60
0.5000,0.8856,0.885511,271.2270,24.33
0.5000,0.8951,0.895006,325.7542,25.13
0.5000,0.9045,0.904500,397.7016,26.00
0.5000,0.9140,0.913995,495.2575,26.95
0.5000,0.9235,0.923489,632.0243,28.01
0.5000,0.9330,0.932984,831.9455,29.20
0.5000,0.9425,0.942478,1140.3712,30.57
0.5000,0.9520,0.951973,1651.8451,32.18
0.5000,0.9615,0.961467,2591.1833,34.13
0.5000,0.9710,0.970962,4606.9075,36.63
0.5000,0.9805,0.980456,10268.4449,40.12
0.5000,0.9900,0.989951,39209.9010,45.93
0.6465,0.0500,0.049997,1.2216,0.87
0.6465,0.0595,0.059491,1.2690,1.03
0.6465,0.0690,0.068985,1.3183,1.20
0.6465,0.0785,0.078480,1.3697,1.37
0.6465,0.0880,0.087974,1.4231,1.53
0.6465,0.0975,0.097468,1.4786,1.70
0.6465,0.1070,0.106963,1.5365,1.87
0.6465,0.1165,0.116457,1.5967,2.03
0.6465,0.1260,0.125951,1.6595,2.20
0.6465,0.1355,0.135446,1.7248,2.37
0.6465,0.1449,0.144940,1.7930,2.54
0.6465,0.1544,0.154434,1.8640,2.70
0.6465,0.1639,0.163929,1.9381,2.87
0.6465,0.1734,0.173423,2.0153,3.04
0.6465,0.1829,0.182917,2.0959,3.21
0.6465,0.1924,0.192412,2.1801,3.38
0.6465,0.2019,0.201906,2.2679,3.56
0.6465,0.2114,0.211400,2.3597,3.73
0.6465,0.2209,0.220895,2.4556,3.90
0.6465,0.2304,0.230389,2.5559,4.08
0.6465,0.2399,0.239883,2.6607,4.25
0.6465,0.2494,0.249378,2.7704,4.43
0.6465,0.2589,0.258872,2.8852,4.60
0.6465,0.2684,0.268366,3.0054,4.78
0.6465,0.2779,0.277861,3.1313,4.96
0.6465,0.2874,0.287355,3.2633,5.14
0.6465,0.2969,0.296849,3.4016,5.32
0.6465,0.3064,0.306344,3.5467,5.50
0.6465,0.3159,0.315838,3.6990,5.68
0.6465,0.3254,0.325333,3.8590,5.86
0.6465,0.3348,0.334827,4.0270,6.05
0.6465,0.3443,0.344321,4.2036,6.24
0.6465,0.3538,0.353816,4.3894,6.42
0.6465,0.3633,0.363310,4.5849,6.61
0.6465,0.3728,0.372804,4.7908,6.80
0.6465,0.3823,0.382299,5.0078,7.00
0.6465,0.3918,0.391793,5.2366,7.19
0.6465,0.4013,0.401287,5.4779,7.39
0.6465,0.4108,0.410782,5.7328,7.58
0.6465,0.4203,0.420276,6.0021,7.78
0.6465,0.4298,0.429770,6.2868,7.98
0.6465,0.4393,0.439265,6.5882,8.19
0.6465,0.4488,0.448759,6.9073,8.39
0.6465,0.4583,0.458253,7.2456,8.60
0.6465,0.4678,0.467748,7.6044,8.81
0.6465,0.4773,0.477242,7.9855,9.02
0.6465,0.4868,0.486736,8.3905,9.24
0.6465,0.4963,0.496231,8.8213,9.46
0.6465,0.5058,0.505725,9.2801,9.68
0.6465,0.5153,0.515219,9.7692,9.90
0.6465,0.5247,0.524714,10.2912,10.12
0.6465,0.5342,0.534208,10.8489,10.35
0.6465,0.5437,0.543702,11.4454,10.59
0.6465,0.5532,0.553197,12.0843,10.82
0.6465,0.5627,0.562691,12.7694,11.06
0.6465,0.5722,0.572185,13.5050,11.30
0.6465,0.5817,0.581680,14.2961,11.55
0.6465,0.5912,0.591174,15.1481,11.80
0.6465,0.6007,0.600668,16.0670,12.06
0.6465,0.6102,0.610163,17.0597,12.32
0.6465,0.6197,0.619657,18.1341,12.58
0.6465,0.6292,0.629151,19.2987,12.86
0.6465,0.6387,0.638646,20.5638,13.13
0.6465,0.6482,0.648140,21.9406,13.41
0.6465,0.6577,0.657634,23.4421,13.70
0.6465,0.6672,0.667129,25.0833,13.99
0.6465,0.6767,0.676623,26.8814,14.29
0.6465,0.6862,0.686117,28.8563,14.60
0.6465,0.6957,0.695612,31.0311,14.92
0.6465,0.7052,0.705106,33.4326,15.24
0.6465,0.7146,0.714600,36.0926,15.57
0.6465,0.7241,0.724095,39.0483,15.92
0.6465,0.7336,0.733589,42.3436,16.27
0.6465,0.7431,0.743083,46.0311,16.63
0.6465,0.7526,0.752578,50.1737,17.00
0.6465,0.7621,0.762072,54.8474,17.39
0.6465,0.7716,0.771566,60.1443,17.79
0.6465,0.7811,0.781061,66.1774,18.21
0.6465,0.7906,0.790555,73.0862,18.64
0.6465,0.8001,0.800049,81.0444,19.09
0.6465,0.8096,0.809544,90.2708,19.56
0.6465,0.8191,0.819038,101.0435,20.05
0.6465,0.8286,0.828532,113.7210,20.56
0.6465,0.8381,0.838027,128.7705,21.10
0.6465,0.8476,0.847521,146.8110,21.67
0.6465,0.8571,0.857015,168.6754,22.27
0.6465,0.8666,0.866510,195.5063,22.91
0.6465,0.8761,0.876004,228.9033,23.60
0.6465,0.8856,0.885498,271.1618,24.33
0.6465,0.8951,0.894993,325.6684,25.13
0.6465,0.9045,0.904487,397.5858,25.99
0.6465,0.9140,0.913981,495.0964,26.95
0.6465,0.9235,0.923476,631.7920,28.01
0.6465,0.9330,0.932970,831.5945,29.20
0.6465,0.9425,0.942464,1139.8079,30.57
0.6465,0.9520,0.951959,1650.8628,32.18
0.6465,0.9615,0.961453,2589.2532,34.13
0.6465,0.9710,0.970947,4602.3321,36.63
0.6465,0.9805,0.980442,10253.2231,40.11
0.6465,0.9900,0.989936,39096.4335,45.92
0.7929,0.0500,0.049996,1.2216,0.87
0.7929,0.0595,0.059490,1.2690,1.03
0.7929,0.0690,0.068984,1.3183,1.20
0.7929,0.0785,0.078479,1.3697,1.37
0.7929,0.0880,0.087973,1.4231,1.53
0.7929,0.0975,0.097467,1.4786,1.70
0.7929,0.1070,0.106961,1.5365,1.87
0.7929,0.1165,0.116455,1.5967,2.03
0.7929,0.1260,0.125950,1.6595,2.20
0.7929,0.1355,0.135444,1.7248,2.37
0.7929,0.1449,0.144938,1.7930,2.54
0.7929,0.1544,0.154432,1.8640,2.70
0.7929,0.1639,0.163926,1.9380,2.87
0.7929,0.1734,0.173421,2.0153,3.04
0.7929,0.1829,0.182915,2.0959,3.21
0.7929,0.1924,0.192409,2.1801,3.38
0.7929,0.2019,0.201903,2.2679,3.56
0.7929,0.2114,0.211397,2.3597,3.73
0.7929,0.2209,0.220892,2.4556,3.90
0.7929,0.2304,0.230386,2.5559,4.08
0.7929,0.2399,0.239880,2.6607,4.25
0.7929,0.2494,0.249374,2.7704,4.43
0.7929,0.2589,0.258868,2.8852,4.60
0.7929,0.2684,0.268363,3.0053,4.78
0.7929,0.2779,0.277857,3.1312,4.96
0.7929,0.2874,0.287351,3.2632,5.14
0.7929,0.2969,0.296845,3.4015,5.32
0.7929,0.3064,0.306339,3.5466,5.50
0.7929,0.3159,0.315834,3.6989,5.68
0.7929,0.3254,0.325328,3.8589,5.86
0.7929,0.3348,0.334822,4.0269,6.05
0.7929,0.3443,0.344316,4.2035,6.24
0.7929,0.3538,0.353810,4.3893,6.42
0.7929,0.3633,0.363305,4.5848,6.61
0.7929,0.3728,0.372799,4.7907,6.80
0.7929,0.3823,0.382293,5.0077,7.00
0.7929,0.3918,0.391787,5.2364,7.19
0.7929,0.4013,0.401281,5.4778,7.39
0.7929,0.4108,0.410776,5.7326,7.58
0.7929,0.4203,0.420270,6.0019,7.78
0.7929,0.4298,0.429764,6.2866,7.98
0.7929,0.4393,0.439258,6.5880,8.19
0.7929,0.4488,0.448752,6.9071,8.39
0.7929,0.4583,0.458246,7.2453,8.60
0.7929,0.4678,0.467741,7.6042,8.81
0.7929,0.4773,0.477235,7.9852,9.02
0.7929,0.4868,0.486729,8.3902,9.24
0.7929,0.4963,0.496223,8.8210,9.46
0.7929,0.5058,0.505717,9.2798,9.68
0.7929,0.5153,0.515212,9.7688,9.90
0.7929,0.5247,0.524706,10.2908,10.12
0.7929,0.5342,0.534200,10.8484,10.35
0.7929,0.5437,0.543694,11.4449,10.59
0.7929,0.5532,0.553188,12.0837,10.82
0.7929,0.5627,0.562683,12.7687,11.06
0.7929,0.5722,0.572177,13.5044,11.30
0.7929,0.5817,0.581671,14.2954,11.55
0.7929,0.5912,0.591165,15.1473,11.80
0.7929,0.6007,0.600659,16.0661,12.06
0.7929,0.6102,0.610154,17.0588,12.32
0.7929,0.6197,0.619648,18.1330,12.58
0.7929,0.6292,0.629142,19.2976,12.86
0.7929,0.6387,0.638636,20.5625,13.13
0.7929,0.6482,0.648130,21.9391,13.41
0.7929,0.6577,0.657625,23.4405,13.70
0.7929,0.6672,0.667119,25.0816,13.99
0.7929,0.6767,0.676613,26.8795,14.29
0.7929,0.6862,0.686107,28.8541,14.60
0.7929,0.6957,0.695601,31.0286,14.92
0.7929,0.7052,0.705096,33.4299,15.24
0.7929,0.7146,0.714590,36.0896,15.57
0.7929,0.7241,0.724084,39.0448,15.92
0.7929,0.7336,0.733578,42.3397,16.27
0.7929,0.7431,0.743072,46.0266,16.63
0.7929,0.7526,0.752567,50.1686,17.00
0.7929,0.7621,0.762061,54.8415,17.39
0.7929,0.7716,0.771555,60.1376,17.79
0.7929,0.7811,0.781049,66.1696,18.21
0.7929,0.7906,0.790543,73.0771,18.64
0.7929,0.8001,0.800038,81.0338,19.09
0.7929,0.8096,0.809532,90.2583,19.55
0.7929,0.8191,0.819026,101.0288,20.04
0.7929,0.8286,0.828520,113.7034,20.56
0.7929,0.8381,0.838014,128.7493,21.10
0.7929,0.8476,0.847509,146.7851,21.67
0.7929,0.8571,0.857003,168.6435,22.27
0.7929,0.8666,0.866497,195.4664,22.91
0.7929,0.8761,0.875991,228.8528,23.60
0.7929,0.8856,0.885485,271.0966,24.33
0.7929,0.8951,0.894980,325.5826,25.13
0.7929,0.9045,0.904474,397.4700,25.99
0.7929,0.9140,0.913968,494.9355,26.95
0.7929,0.9235,0.923462,631.5598,28.00
0.7929,0.9330,0.932956,831.2438,29.20
0.7929,0.9425,0.942451,1139.2450,30.57
0.7929,0.9520,0.951945,1649.8815,32.17
0.7929,0.9615,0.961439,2587.3253,34.13
0.7929,0.9710,0.970933,4597.7635,36.63
0.7929,0.9805,0.980427,10238.0352,40.10
0.7929,0.9900,0.989922,38983.4578,45.91
0.9394,0.0500,0.049995,1.2216,0.87
0.9394,0.0595,0.059489,1.2690,1.03
0.9394,0.0690,0.068983,1.3183,1.20
0.9394,0.0785,0.078477,1.3697,1.37
0.9394,0.0880,0.087972,1.4230,1.53
0.9394,0.0975,0.097466,1.4786,1.70
0.9394,0.1070,0.106960,1.5365,1.87
0.9394,0.1165,0.116454,1.5967,2.03
0.9394,0.1260,0.125948,1.6594,2.20
0.9394,0.1355,0.135442,1.7248,2.37
0.9394,0.1449,0.144936,1.7929,2.54
0.9394,0.1544,0.154430,1.8640,2.70
0.9394,0.1639,0.163924,1.9380,2.87
0.9394,0.1734,0.173418,2.0153,3.04
0.9394,0.1829,0.182912,2.0959,3.21
0.9394,0.1924,0.192406,2.1800,3.38
0.9394,0.2019,0.201900,2.2679,3.56
0.9394,0.2114,0.211394,2.3597,3.73
0.9394,0.2209,0.220888,2.4556,3.90
0.9394,0.2304,0.230382,2.5558,4.08
0.9394,0.2399,0.239876,2.6607,4.25
0.9394,0.2494,0.249371,2.7703,4.43
0.9394,0.2589,0.258865,2.8851,4.60
0.9394,0.2684,0.268359,3.0053,4.78
0.9394,0.2779,0.277853,3.1312,4.96
0.9394,0.2874,0.287347,3.2631,5.14
0.9394,0.2969,0.296841,3.4015,5.32
0.9394,0.3064,0.306335,3.5466,5.50
0.9394,0.3159,0.315829,3.6989,5.68
0.9394,0.3254,0.325323,3.8588,5.86
0.9394,0.3348,0.334817,4.0268,6.05
0.9394,0.3443,0.344311,4.2034,6.24
0.9394,0.3538,0.353805,4.3892,6.42
0.9394,0.3633,0.363299,4.5847,6.61
0.9394,0.3728,0.372793,4.7906,6.80
0.9394,0.3823,0.382287,5.0075,7.00
0.9394,0.3918,0.391781,5.2363,7.19
0.9394,0.4013,0.401275,5.4776,7.39
0.9394,0.4108,0.410769,5.7325,7.58
0.9394,0.4203,0.420264,6.0017,7.78
0.9394,0.4298,0.429758,6.2865,7.98
0.9394,0.4393,0.439252,6.5878,8.19
0.9394,0.4488,0.448746,6.9069,8.39
0.9394,0.4583,0.458240,7.2451,8.60
0.9394,0.4678,0.467734,7.6039,8.81
0.9394,0.4773,0.477228,7.9849,9.02
0.9394,0.4868,0.486722,8.3898,9.24
0.9394,0.4963,0.496216,8.8206,9.45
0.9394,0.5058,0.505710,9.2794,9.68
0.9394,0.5153,0.515204,9.7684,9.90
0.9394,0.5247,0.524698,10.2903,10.12
0.9394,0.5342,0.534192,10.8479,10.35
0.9394,0.5437,0.543686,11.4443,10.59
0.9394,0.5532,0.553180,12.0831,10.82
0.9394,0.5627,0.562674,12.7681,11.06
0.9394,0.5722,0.572168,13.5037,11.30
0.9394,0.5817,0.581663,14.2947,11.55
0.9394,0.5912,0.591157,15.1465,11.80
0.9394,0.6007,0.600651,16.0652,12.06
0.9394,0.6102,0.610145,17.0578,12.32
0.9394,0.6197,0.619639,18.1319,12.58
0.9394,0.6292,0.629133,19.2964,12.85
0.9394,0.6387,0.638627,20.5612,13.13
0.9394,0.6482,0.648121,21.9377,13.41
0.9394,0.6577,0.657615,23.4389,13.70
0.9394,0.6672,0.667109,25.0798,13.99
0.9394,0.6767,0.676603,26.8775,14.29
0.9394,0.6862,0.686097,28.8519,14.60
0.9394,0.6957,0.695591,31.0262,14.92
0.9394,0.7052,0.705085,33.4271,15.24
0.9394,0.7146,0.714579,36.0865,15.57
0.9394,0.7241,0.724073,39.0413,15.92
0.9394,0.7336,0.733567,42.3357,16.27
0.9394,0.7431,0.743062,46.0222,16.63
0.9394,0.7526,0.752556,50.1635,17.00
0.9394,0.7621,0.762050,54.8357,17.39
0.9394,0.7716,0.771544,60.1309,17.79
0.9394,0.7811,0.781038,66.1619,18.21
0.9394,0.7906,0.790532,73.0681,18.64
0.9394,0.8001,0.800026,81.0233,19.09
0.9394,0.8096,0.809520,90.2459,19.55
0.9394,0.8191,0.819014,101.0141,20.04
0.9394,0.8286,0.828508,113.6858,20.56
0.9394,0.8381,0.838002,128.7280,21.10
0.9394,0.8476,0.847496,146.7592,21.67
0.9394,0.8571,0.856990,168.6117,22.27
0.9394,0.8666,0.866484,195.4266,22.91
0.9394,0.8761,0.875978,228.8023,23.59
0.9394,0.8856,0.885472,271.0315,24.33
0.9394,0.8951,0.894966,325.4968,25.13
0.9394,0.9045,0.904460,397.3543,25.99
0.9394,0.9140,0.913955,494.7746,26.94
0.9394,0.9235,0.923449,631.3278,28.00
0.9394,0.9330,0.932943,830.8933,29.20
0.9394,0.9425,0.942437,1138.6825,30.56
0.9394,0.9520,0.951931,1648.9009,32.17
0.9394,0.9615,0.961425,2585.3996,34.13
0.9394,0.9710,0.970919,4593.2017,36.62
0.9394,0.9805,0.980413,10222.8810,40.10
0.9394,0.9900,0.989907,38870.9711,45.90
1.0859,0.0500,0.049995,1.2216,0.87
1.0859,0.0595,0.059488,1.2690,1.03
1.0859,0.0690,0.068982,1.3183,1.20
1.0859,0.0785,0.078476,1.3696,1.37
1.0859,0.0880,0.087970,1.4230,1.53
1.0859,0.0975,0.097464,1.4786,1.70
1.0859,0.1070,0.106958,1.5365,1.87
1.0859,0.1165,0.116452,1.5967,2.03
1.0859,0.1260,0.125946,1.6594,2.20
1.0859,0.1355,0.135440,1.7248,2.37
1.0859,0.1449,0.144934,1.7929,2.54
1.0859,0.1544,0.154428,1.8639,2.70
1.0859,0.1639,0.163922,1.9380,2.87
1.0859,0.1734,0.173416,2.0153,3.04
1.0859,0.1829,0.182909,2.0959,3.21
1.0859,0.1924,0.192403,2.1800,3.38
1.0859,0.2019,0.201897,2.2679,3.56
1.0859,0.2114,0.211391,2.3596,3.73
1.0859,0.2209,0.220885,2.4555,3.90
1.0859,0.2304,0.230379,2.5558,4.08
1.0859,0.2399,0.239873,2.6606,4.25
1.0859,0.2494,0.249367,2.7703,4.43
1.0859,0.2589,0.258861,2.8851,4.60
1.0859,0.2684,0.268355,3.0052,4.78
1.0859,0.2779,0.277849,3.1311,4.96
1.0859,0.2874,0.287343,3.2631,5.14
1.0859,0.2969,0.296836,3.4014,5.32
1.0859,0.3064,0.306330,3.5465,5.50
1.0859,0.3159,0.315824,3.6988,5.68
1.0859,0.3254,0.325318,3.8587,5.86
1.0859,0.3348,0.334812,4.0267,6.05
1.0859,0.3443,0.344306,4.2033,6.24
1.0859,0.3538,0.353800,4.3891,6.42
1.0859,0.3633,0.363294,4.5846,6.61
1.0859,0.3728,0.372788,4.7905,6.80
1.0859,0.3823,0.382282,5.0074,7.00
1.0859,0.3918,0.391776,5.2361,7.19
1.0859,0.4013,0.401270,5.4775,7.39
1.0859,0.4108,0.410763,5.7323,7.58
1.0859,0.4203,0.420257,6.0016,7.78
1.0859,0.4298,0.429751,6.2863,7.98
1.0859,0.4393,0.439245,6.5875,8.19
1.0859,0.4488,0.448739,6.9066,8.39
1.0859,0.4583,0.458233,7.2448,8.60
1.0859,0.4678,0.467727,7.6036,8.81
1.0859,0.4773,0.477221,7.9846,9.02
1.0859,0.4868,0.486715,8.3895,9.24
1.0859,0.4963,0.496209,8.8203,9.45
1.0859,0.5058,0.505703,9.2790,9.68
1.0859,0.5153,0.515197,9.7680,9.90
1.0859,0.5247,0.524690,10.2899,10.12
1.0859,0.5342,0.534184,10.8474,10.35
1.0859,0.5437,0.543678,11.4438,10.59
1.0859,0.5532,0.553172,12.0826,10.82
1.0859,0.5627,0.562666,12.7675,11.06
1.0859,0.5722,0.572160,13.5030,11.30
1.0859,0.5817,0.581654,14.2939,11.55
1.0859,0.5912,0.591148,15.1457,11.80
1.0859,0.6007,0.600642,16.0644,12.06
1.0859,0.6102,0.610136,17.0568,12.32
1.0859,0.6197,0.619630,18.1309,12.58
1.0859,0.6292,0.629124,19.2952,12.85
1.0859,0.6387,0.638618,20.5599,13.13
1.0859,0.6482,0.648111,21.9363,13.41
1.0859,0.6577,0.657605,23.4373,13.70
1.0859,0.6672,0.667099,25.0780,13.99
1.0859,0.6767,0.676593,26.8755,14.29
1.0859,0.6862,0.686087,28.8497,14.60
1.0859,0.6957,0.695581,31.0237,14.92
1.0859,0.7052,0.705075,33.4244,15.24
1.0859,0.7146,0.714569,36.0834,15.57
1.0859,0.7241,0.724063,39.0378,15.91
1.0859,0.7336,0.733557,42.3318,16.27
1.0859,0.7431,0.743051,46.0177,16.63
1.0859,0.7526,0.752545,50.1584,17.00
1.0859,0.7621,0.762038,54.8299,17.39
1.0859,0.7716,0.771532,60.1241,17.79
1.0859,0.7811,0.781026,66.1541,18.21
1.0859,0.7906,0.790520,73.0591,18.64
1.0859,0.8001,0.800014,81.0127,19.09
1.0859,0.8096,0.809508,90.2335,19.55
1.0859,0.8191,0.819002,100.9994,20.04
1.0859,0.8286,0.828496,113.6682,20.56
1.0859,0.8381,0.837990,128.7068,21.10
1.0859,0.8476,0.847484,146.7334,21.67
1.0859,0.8571,0.856978,168.5798,22.27
1.0859,0.8666,0.866472,195.3868,22.91
1.0859,0.8761,0.875965,228.7518,23.59
1.0859,0.8856,0.885459,270.9664,24.33
1.0859,0.8951,0.894953,325.4111,25.12
1.0859,0.9045,0.904447,397.2386,25.99
1.0859,0.9140,0.913941,494.6137,26.94
1.0859,0.9235,0.923435,631.0959,28.00
1.0859,0.9330,0.932929,830.5431,29.19
1.0859,0.9425,0.942423,1138.1204,30.56
1.0859,0.9520,0.951917,1647.9213,32.17
1.0859,0.9615,0.961411,2583.4760,34.12
1.0859,0.9710,0.970905,4588.6467,36.62
1.0859,0.9805,0.980399,10207.7605,40.09
1.0859,0.9900,0.989893,38758.9706,45.88
1.2323,0.0500,0.049994,1.2216,0.87
1.2323,0.0595,0.059488,1.2690,1.03
1.2323,0.0690,0.068981,1.3183,1.20
1.2323,0.0785,0.078475,1.3696,1.37
1.2323,0.0880,0.087969,1.4230,1.53
1.2323,0.0975,0.097463,1.4786,1.70
1.2323,0.1070,0.106957,1.5364,1.87
1.2323,0.1165,0.116450,1.5967,2.03
1.2323,0.1260,0.125944,1.6594,2.20
1.2323,0.1355,0.135438,1.7248,2.37
1.2323,0.1449,0.144932,1.7929,2.54
1.2323,0.1544,0.154425,1.8639,2.70
1.2323,0.1639,0.163919,1.9380,2.87
1.2323,0.1734,0.173413,2.0152,3.04
1.2323,0.1829,0.182907,2.0958,3.21
1.2323,0.1924,0.192401,2.1800,3.38
1.2323,0.2019,0.201894,2.2678,3.56
1.2323,0.2114,0.211388,2.3596,3.73
1.2323,0.2209,0.220882,2.4555,3.90
1.2323,0.2304,0.230376,2.5557,4.08
1.2323,0.2399,0.239869,2.6606,4.25
1.2323,0.2494,0.249363,2.7702,4.43
1.2323,0.2589,0.258857,2.8850,4.60
1.2323,0.2684,0.268351,3.0052,4.78
1.2323,0.2779,0.277845,3.1311,4.96
1.2323,0.2874,0.287338,3.2630,5.14
1.2323,0.2969,0.296832,3.4013,5.32
1.2323,0.3064,0.306326,3.5464,5.50
1.2323,0.3159,0.315820,3.6987,5.68
1.2323,0.3254,0.325313,3.8586,5.86
1.2323,0.3348,0.334807,4.0266,6.05
1.2323,0.3443,0.344301,4.2032,6.24
1.2323,0.3538,0.353795,4.3890,6.42
1.2323,0.3633,0.363289,4.5845,6.61
1.2323,0.3728,0.372782,4.7903,6.80
1.2323,0.3823,0.382276,5.0073,7.00
1.2323,0.3918,0.391770,5.2360,7.19
1.2323,0.4013,0.401264,5.4773,7.39
1.2323,0.4108,0.410757,5.7321,7.58
1.2323,0.4203,0.420251,6.0014,7.78
1.2323,0.4298,0.429745,6.2861,7.98
1.2323,0.4393,0.439239,6.5873,8.19
1.2323,0.4488,0.448733,6.9064,8.39
1.2323,0.4583,0.458226,7.2446,8.60
1.2323,0.4678,0.467720,7.6034,8.81
1.2323,0.4773,0.477214,7.9843,9.02
1.2323,0.4868,0.486708,8.3892,9.24
1.2323,0.4963,0.496201,8.8200,9.45
1.2323,0.5058,0.505695,9.2786,9.67
1.2323,0.5153,0.515189,9.7676,9.90
1.2323,0.5247,0.524683,10.2894,10.12
1.2323,0.5342,0.534177,10.8470,10.35
1.2323,0.5437,0.543670,11.4433,10.59
1.2323,0.5532,0.553164,12.0820,10.82
1.2323,0.5627,0.562658,12.7669,11.06
1.2323,0.5722,0.572152,13.5023,11.30
1.2323,0.5817,0.581645,14.2932,11.55
1.2323,0.5912,0.591139,15.1449,11.80
1.2323,0.6007,0.600633,16.0635,12.06
1.2323,0.6102,0.610127,17.0559,12.32
1.2323,0.6197,0.619621,18.1298,12.58
1.2323,0.6292,0.629114,19.2940,12.85
1.2323,0.6387,0.638608,20.5586,13.13
1.2323,0.6482,0.648102,21.9348,13.41
1.2323,0.6577,0.657596,23.4358,13.70
1.2323,0.6672,0.667090,25.0763,13.99
1.2323,0.6767,0.676583,26.8736,14.29
1.2323,0.6862,0.686077,28.8475,14.60
1.2323,0.6957,0.695571,31.0213,14.92
1.2323,0.7052,0.705065,33.4217,15.24
1.2323,0.7146,0.714558,36.0803,15.57
1.2323,0.7241,0.724052,39.0343,15.91
1.2323,0.7336,0.733546,42.3278,16.27
1.2323,0.7431,0.743040,46.0132,16.63
1.2323,0.7526,0.752534,50.1533,17.00
1.2323,0.7621,0.762027,54.8240,17.39
1.2323,0.7716,0.771521,60.1174,17.79
1.2323,0.7811,0.781015,66.1463,18.21
1.2323,0.7906,0.790509,73.0501,18.64
1.2323,0.8001,0.800002,81.0022,19.08
