d_pdms_mm,T_one_wall,T_two_walls,T_two_walls_dB,amp_L,amp_R,effective_contrast,effective_contrast_dB,min_force_norm
8.9523,2.225967,4.95493012,6.9504,1.491968,1.491968,1000000.00,68.24,2.225967
9.0251,2.311525,5.34314746,7.2780,1.520370,1.520370,1000000.00,68.24,2.311525
9.0980,2.269374,5.15006001,7.1181,1.506444,1.506444,1000000.00,68.24,2.269374
9.1709,2.133497,4.55180802,6.5818,1.460649,1.460649,1000000.00,68.24,2.133497
9.2437,1.984961,3.94006945,5.9550,1.408886,1.408886,1000000.00,68.24,1.984961
9.3166,1.887061,3.56099970,5.5157,1.373703,1.373703,1000000.00,68.24,1.887061
9.3894,1.869412,3.49469998,5.4341,1.367264,1.367264,1000000.00,68.24,1.869412
9.4623,1.939996,3.76358462,5.7560,1.392837,1.392837,1000000.00,68.24,1.939996
9.5352,2.090027,4.36821245,6.4030,1.445693,1.445693,1000000.00,68.24,2.090027
9.6080,2.282042,5.20771685,7.1665,1.510643,1.510643,1000000.00,68.24,2.282042
9.6809,2.436981,5.93887519,7.7370,1.561083,1.561083,1000000.00,68.24,2.436981
9.7538,2.467004,6.08610895,7.8434,1.570670,1.570670,1000000.00,68.24,2.467004
9.8266,2.357842,5.55941864,7.4503,1.535527,1.535527,1000000.00,68.24,2.357842
9.8995,2.185363,4.77581121,6.7905,1.478297,1.478297,1000000.00,68.24,2.185363
9.9724,2.038482,4.15540817,6.1861,1.427754,1.427754,1000000.00,68.24,2.038482
10.0452,1.968351,3.87440400,5.8820,1.402979,1.402979,1000000.00,68.24,1.968351
10.1181,1.993886,3.97558134,5.9940,1.412050,1.412050,1000000.00,68.24,1.993886
10.1910,2.115923,4.47713055,6.5100,1.454621,1.454621,1000000.00,68.24,2.115923
10.2638,2.313599,5.35273861,7.2858,1.521052,1.521052,1000000.00,68.24,2.313599
10.3367,2.524194,6.37155635,8.0425,1.588771,1.588771,1000000.00,68.24,2.524194
10.4095,2.642749,6.98412220,8.4411,1.625653,1.625653,1000000.00,68.24,2.642749
10.4824,2.595887,6.73863131,8.2857,1.611176,1.611176,1000000.00,68.24,2.595887
10.5553,2.423237,5.87207756,7.6879,1.556675,1.556675,1000000.00,68.24,2.423237
10.6281,2.231571,4.97990944,6.9722,1.493844,1.493844,1000000.00,68.24,2.231571
10.7010,2.102636,4.42107899,6.4553,1.450047,1.450047,1000000.00,68.24,2.102636
10.7739,2.072585,4.29560923,6.3302,1.439648,1.439648,1000000.00,68.24,2.072585
10.8467,2.151392,4.62848700,6.6544,1.466762,1.466762,1000000.00,68.24,2.151392
10.9196,2.331618,5.43644321,7.3531,1.526964,1.526964,1000000.00,68.24,2.331618
10.9925,2.572853,6.61957093,8.2083,1.604011,1.604011,1000000.00,68.24,2.572853
11.0653,2.778175,7.71825494,8.8752,1.666786,1.666786,1000000.00,68.24,2.778175
11.1382,2.827438,7.99440362,9.0279,1.681499,1.681499,1000000.00,68.24,2.827438
11.2111,2.692344,7.24871576,8.6026,1.640836,1.640836,1000000.00,68.24,2.692344
11.2839,2.470995,6.10581447,7.8574,1.571940,1.571940,1000000.00,68.24,2.470995
11.3568,2.280495,5.20065674,7.1606,1.510131,1.510131,1000000.00,68.24,2.280495
11.4296,2.185156,4.77490761,6.7896,1.478227,1.478227,1000000.00,68.24,2.185156
11.5025,2.207322,4.87227160,6.8773,1.485706,1.485706,1000000.00,68.24,2.207322
11.5754,2.349571,5.52048519,7.4198,1.532831,1.532831,1000000.00,68.24,2.349571
11.6482,2.591900,6.71794702,8.2724,1.609938,1.609938,1000000.00,68.24,2.591900
11.7211,2.862736,8.19525824,9.1356,1.691962,1.691962,1000000.00,68.24,2.862736
11.7940,3.026737,9.16113627,9.6195,1.739752,1.739752,1000000.00,68.24,3.026737
11.8668,2.976537,8.85977308,9.4742,1.725264,1.725264,1000000.00,68.24,2.976537
11.9397,2.757107,7.60163984,8.8091,1.660454,1.660454,1000000.00,68.24,2.757107
12.0126,2.509993,6.30006436,7.9934,1.584296,1.584296,1000000.00,68.24,2.509993
12.0854,2.341162,5.48103913,7.3886,1.530086,1.530086,1000000.00,68.24,2.341162
